N3 Vocabulary,Character
"基本 (kihon): foundation, basis",基本
"生地 (kiji): cloth, fabric",生地 (kiji):
"記事 (kiji): article, news story",記事
"機械 (kikai): machine, mechanism",機械
"期間 (kikan): period, term",期間
"機関 (kikan): engine, agency, organization",機関
帰国 (kikoku): return to one’s country,帰国
気候 (kikou): climate,気候
効く (kiku): to be effective,効く
"決まり (kimari): rule, settlement",決まり
"気味 (kimi): sensation, feeling",気味
金 (kin): gold,金
"緊張 (kinchou): tension, nervousness",緊張
近代 (kindai): present day,近代
禁煙 (kin’en): no smoking,禁煙
"記念品 (kinenhin): souvenir, memento",記念品
金額 (kingaku): amount of money,金額
"気になる (ki ni naru): to bother one, to worry about",気になる
"気にする (ki ni suru): to mind, to care about",気にする
"金庫 (kinko): safe, vault",金庫
筋肉 (kinniku): muscle,筋肉
"金銭 (kinsen): money, cash",金銭
"禁止 (kinshi): prohibition, ban",禁止
金属 (kinzoku): metal,金属
"奇妙 (kimyou): strange, queer",奇妙
記念 (kinen): commemoration,記念
機能 (kinou): function,機能
"記入 (kinyuu): entry, filling in forms",記入
"金融 (kin’yuu): financing, money circulation",金融
"記憶 (kioku): memory, recollection",記憶
気温 (kion): atmospheric temperature,気温
"霧 (kiri): fog, mist",霧
"切れ (kire): piece, slide",切れ
"切れる (kireru): to break, to snap",切れる
"記録 (kiroku): record, document",記録
記者 (kisha): reporter,記者
"岸 (kishi): bank, coast, shore",岸
"基礎 (kiso): foundation, basis",基礎
"期待 (kitai): expectation, hope",期待
帰宅 (kitaku): returning home,帰宅
"際 (kiwa): edge, brink, verge",際
"嫌う (kirau): to hate, to dislike",嫌う
"傷 (kizu): wound, injury, cut",傷
"器用 (kiyou): dexterous, skillful",器用
"気付く (kizuku): to notice, to realize",気付く
"こぼす: to spill, to drop, to shed",こぼす:
越える (koeru): to cross over,越える
恋 (koi): love,恋
"濃い (koi): thick, dense, strong",濃い
"恋人 (koibito): lover, sweetheart",恋人
"恋しい (koishii): yearned for, missed",恋しい
"個人 (kojin): individual, personal",個人
"国家 (kokka): state, country, nation",国家
"国会 (kokkai): National Diet, parliament",国会
国境 (kokkyou): national border,国境
黒板 (kokuban): blackboard,黒板
国語 (kokugo): national language,国語
"克服 (kokufuku): conquest, overcoming",克服
"国民 (kokumin): national, citizen",国民
"穀物 (kokumotsu): grain, cereal",穀物
"故郷 (kokyou): home town, birthplace",故郷
"呼吸 (kokyuu): breathing, respiration",呼吸
小麦 (komugi): wheat,小麦
今後 (kongo): from now on,今後
"今回 (konkai): now, this time",今回
"粉 (kona): flour, powder",粉
"困難 (konnan): difficulty, distress",困難
"今日 (konnichi): this day, these days, recently",今日
"好み (konomi): liking, taste",好み
"好む (konomu): to like, to prefer",好む
"混乱 (konran): disorder, chaos",混乱
"婚約 (kon’yaku): engagement, betrothal",婚約
"混雑 (konzatsu): congestion, jam",混雑
氷 (koori): ice,氷
凍る (kooru): to freeze,凍る
転ぶ (korobu): to fall down,転ぶ
殺す (korosu): to kill,殺す
"腰 (koshi): lower back, waist",腰
骨折 (kossetsu): bone fracture,骨折
"異なる (kotonaru): to differ, to vary",異なる
"断る (kotowaru): to refuse, to reject",断る
"諺 (kotowaza): proverb, maxim",諺
好物 (koubutsu): favourite food,好物
"行動 (koudou): action, conduct, behavior",行動
"講演 (kouen): lecture, address, speech",講演
幸福 (koufuku): happiness,幸福
"攻撃 (kougeki): attack, strike",攻撃
"公平 (kouhei): fairness, justice",公平
候補 (kouho): candidate,候補
"後方 (kouhou): behind, in the rear",後方
工事 (kouji): construction work,工事
"効果 (kouka): effect, effectiveness",効果
硬貨 (kouka): coin,硬貨
高価 (kouka): high price,高価
"交換 (koukan): exchange, interchange",交換
"光景 (koukei): scene, spectacle",光景
貢献 (kouken): contribution,貢献
広告 (koukoku): advertisement,広告
"航空 (koukuu): aviation, flying",航空
"公共 (koukyou): public, community",公共
"購入 (kounyuu): purchase, buy",購入
考慮 (kouryo): consideration,考慮
"交流 (kouryuu): (cultural) exchange, networking",交流
"交際 (kousai): association, friendship",交際
"構成 (kousei): organization, composition",構成
高速 (kousoku): high speed,高速
後者 (kousha): the latter,後者
交通費 (koutsuuhi): traveling expenses,交通費
"幸運 (kouun): good luck, fortune",幸運
"小屋 (koya): hut, cabin, shed",小屋
"小包 (kozutsumi): parcel, package",小包
"配る (kubaru): to distribute, to hand out",配る
"区別 (kubetsu): distinction, differentiation",区別
工夫 (kufuu): solving ingeniously,工夫
"組 (kumi): set, group",組
"組合 (kumiai): association, union",組合
"組み立てる (kumitateru): to assemble, to set up",組み立てる
"曇 (kumori): cloudiness, cloudy weather",曇
曇る (kumoru): to get cloudy,曇る
"組む (kumu): to link, to put together",組む
"訓練 (kunren): practice, training",訓練
"位 (kurai): rank, class, grade",位
"暮らし (kurashi): life, living",暮らし
暮らす (kurasu): to live,暮らす
"暮れ (kure): sunset, sundown",暮れ
繰り返す (kurikaesu): to repeat,繰り返す
"苦労 (kurou): troubles, hardships",苦労
"苦しい (kurushii): painful, difficult",苦しい
苦しむ (kurushimu): to suffer,苦しむ
狂う (kuruu): to go mad,狂う
"臭い (kusai): stinking, smelly",臭い
鎖 (kusari): chain,鎖
"腐る (kusaru): to rot, to go bad",腐る
癖 (kuse): habit,癖
"きつい (kutsui): intense, severe, hard",きつい
"苦痛 (kutsuu): pain, agony",苦痛
"加える (kuwaeru): to add, to sum up",加える
詳しい (kuwashii): detailed,詳しい
加わる (kuwawaru): to be added to,加わる
"句 (ku): sentence, passage",句
食う (kuu): to eat,食う
"悔しい (kuyashii): annoying, frustrating",悔しい
"巨大 (kyodai): huge, gigantic",巨大
"許可 (kyoka): permission, approval",許可
"局 (kyoku): bureau, department",局
"距離 (kyori): distance, range",距離
"強調 (kyouchou): emphasis, highlight",強調
"共同 (kyoudou): doing together, joint",共同
"恐怖 (kyoufu): fear, dread, dismay",恐怖
"競技 (kyougi): game, match",競技
"競合 (kyougou): competition, rivalry",競合
教授 (kyouju): professor,教授
教科書 (kyoukasho): textbook,教科書
"供給 (kyoukyuu): supply, provision",供給
協力 (kyouryoku): cooperation,協力
"強力 (kyouryoku): powerful, strong",強力
教師 (kyoushi): teacher (classroom),教師
"共通 (kyoutsuu): commonness, community",共通
"共通点 (kyoutsuuten): point in common, common feature",共通点
"級 (kyuu): class (school, grade, rank",級
"急に (kyuu ni): swiftly, rapidly",急に
"急激 (kyuugeki): sudden, radical",急激
"休日 (kyuujitsu): holiday, day off",休日
"救助 (kyuujo): relief, aid",救助
"休暇 (kyuuka): holiday, day off",休暇
"休憩 (kyuukei): rest, break, recess",休憩
"給料 (kyuuryou): salary, wages",給料
吸収 (kyuushuu): absorption,吸収
急速 (kyuusoku): rapid (progress),急速
"眩しい (mabushii): dazzling, radiant",眩しい
"間違い (machigai): mistake, error, blunder",間違い
間違う (machigau): to make a mistake,間違う
"窓口 (madoguchi): ticket window, counter",窓口
孫 (mago): grandchild,孫
"迷子 (maigo): lost child, lost person",迷子
"任せる (makaseru): to entrust, to leave to",任せる
"負け (make): defeat, loss",負け
幕 (maku): curtain,幕
豆 (mame): beans,豆
"守る (mamoru): to protect, to guard",守る
"学ぶ (manabu): to study, to learn",学ぶ
"真似 (mane): imitating, copying",真似
"招く (maneku): to invite, to ask",招く
万一 (man’ichi): by some chance,万一
"満点 (manten): perfect score, full marks",満点
"満足 (manzoku): satisfaction, contentment",満足
丸 (maru): circle,丸
"真逆 (masaka): by no means, never",真逆
"正に (masa ni): exactly, surely",正に
"増す (masu): to increase, to grow",増す
回り (mawari): rotation,回り
"回す (mawasu): to turn, to rotate",回す
迷う (mayou): to lose one’s way,迷う
"先ず (mazu): first of all, to start with",先ず
"混ぜる (mazeru): to mix, to stir",混ぜる
貧しい (mazushii): poor,貧しい
"命じる (meijiru): to order, to command",命じる
"明確 (meikaku): clear, precise",明確
"命令 (meirei): order, command",命令
"迷惑 (meiwaku): trouble, bother, annoyance",迷惑
"面 (men): face, mask",面
綿 (men): cotton,綿
"面倒 (mendou): trouble, care",面倒
"免許 (menkyo): license, permit",免許
"免許証 (menkyoshou): license, permit",免許証
面接 (mensetsu): interview (e.g. for a job),面接
"飯 (meshi): cooked rice, meal",飯
目覚まし時計 (mezamashidokei): alarm clock,目覚まし時計
"身 (mi): body, oneself",身
"実 (mi): fruit, nut",実
身につける (mi ni tsukeru): to learn; to acquire knowledge,身につける
満ちる (michiru): to be full,満ちる
"身近 (midjika): near oneself, close to one",身近
"見事 (migoto): splendid, magnificent",見事
"味方 (mikata): friend, ally",味方
見舞い (mimai): visiting ill or distressed people,見舞い
"未満 (miman): less than, insufficient",未満
見送り (miokuri): seeing one off,見送り
見送る (miokuru): to see someone off,見送る
未来 (mirai): the future,未来
"魅力 (miryoku): charm, fascination",魅力
"認める (mitomeru): to accept, to admit",認める
"見つめる (mitsumeru): to stare at, to gaze at",見つめる
"土産 (miyage): present, souvenir",土産
"都 (miyako): capital, metropolis",都
"持上げる (mochiageru): to elevate, to raise",持上げる
持ち運び (mochihakobi): carrying,持ち運び
"用いる (mochiiru): to use, to make use of",用いる
"持ち物 (mochimono): personal effects, one’s belongings",持ち物
"戻す (modosu): to put back, to give back",戻す
"燃える (moeru): to burn, to get fired up",燃える
文字 (moji): letter (of alphabet),文字
"目標 (mokuhyou): objective, target",目標
"目的 (mokuteki): goal, purpose, aim",目的
"文句 (monku): complaint, grumbling",文句
者 (mono): person,者
"物語 (monogatari): tale, story",物語
"物事 (monogoto): things, everything",物事
物音 (monooto): sounds,物音
"盛り (mori): serving, helping",盛り
"元 (moto): origin, source, base",元
"求める (motomeru): to want, to wish for",求める
"最も (mottomo): most, extremely",最も
毛布 (moufu): blanket,毛布
"申し込み (moushikomi): application, entry",申し込み
申込書 (moushikomisho): application form,申込書
申し込む (moushikomu): to apply for,申し込む
"申し訳 (moushiwake): apology, excuse",申し訳
"模様 (moyou): pattern, design",模様
"夢中 (muchuu): daze, ecstasy",夢中
"無駄 (muda): futility, uselessness",無駄
"迎え (mukae): meeting, greeting",迎え
"向かい (mukai): facing, opposite",向かい
"向ける (mukeru): to turn toward, to point",向ける
"向く (muku): to face, to turn toward",向く
"剥く (muku): to peel, to skin",剥く
"胸 (mune): chest, breast",胸
"無料 (muryou): free, no charge",無料
"無視 (mushi): disregarding, ignoring",無視
"虫歯 (mushiba): cavity, tooth decay",虫歯
"結ぶ (musubu): to tie, to bind",結ぶ
"妙 (myou): strange, unusual",妙
"名 (na): name, given name",名
"鍋 (nabe): saucepan, pot",鍋
"撫でる (naderu): to stroke, to caress",撫でる
"長生き (nagaiki): longevity, long life",長生き
"眺め (nagame): view, scene, prospect",眺め
"眺める (nagameru): to view, to gaze at",眺める
"流れ (nagare): stream, current, flow",流れ
"流れる (nagareru): to stream, to flow",流れる
"流す (nagasu): to drain, to shed",流す
"慰める (nagusameru): to comfort, to console",慰める
"内緒 (naisho): secrecy, confidentiality",内緒
"内容 (naiyou): contents, matter",内容
"仲 (naka): relation, relationship",仲
"半ば (nakaba): middle, half",半ば
"仲間 (nakama): fellow, companion",仲間
"中身 (nakami): contents, interior",中身
"仲直り (nakanaori): reconciliation, make peace with",仲直り
"生 (nama): raw, uncooked",生
怠ける (namakeru): to be idle,怠ける
波 (nami): wave,波
涙 (namida): tears,涙
"直 (nao): straight, ordinary, common",直
"情けない (nasakenai): miserable, pitiable",情けない
"納得 (nattoku): consent, assent",納得
"懐かしい (natsukashii): missed, nostalgic",懐かしい
"縄 (nawa): rope, cord",縄
悩む (nayamu): to be worried,悩む
"謎 (nazo): riddle, puzzle, mystery",謎
"根 (ne): root, source, origin",根
熱中 (necchuu): going nuts (over something),熱中
"値段 (nedan): price, cost",値段
"願い (negai): desire, wish",願い
"願う (negau): to desire, to wish",願う
"年代 (nendai): age, era, period",年代
"年中 (nenjuu): whole year, all year round",年中
年間 (nenkan): years (period of),年間
"年齢 (nenrei): age, years",年齢
熱帯 (nettai): tropics,熱帯
"鼠 (nezumi): mouse, rat",鼠
"似合う (niau): to suit, to match",似合う
"日常 (nichijou): ordinary, everyday",日常
"日中 (nicchuu): daytime, during the day",日中
日時 (nichiji): date and time,日時
"日夜 (nichiya): day and night, always, constantly",日夜
"苦手 (nigate): poor at, weak in",苦手
"握る (nigiru): to grip, to grasp",握る
日本 (nihon): Japan,日本
日光 (nikkou): sunlight,日光
"にっこり (nikkori): smile, grin",にっこり
"人間 (ningen): human being, person",人間
人気 (ninki): popularity,人気
人数 (ninzuu): the number of people,人数
"日程 (nittei): schedule, program",日程
"野 (no): plain, field",野
伸ばす (nobasu): to grow long,伸ばす
"述べる (noberu): to state, to express",述べる
"伸びる (nobiru): to stretch, to extend",伸びる
軒 (noki): eaves,軒
"残り (nokori): remnant, residue",残り
残す (nokosu): to leave (behind),残す
"のんびり (nonbiri): carefree, at leisure",のんびり
乗せる (noseru): to place on,乗せる
"能 (nou): talent, gift, function",能
農業 (nougyou): agriculture,農業
"農家 (nouka): farmer, farm family",農家
"農民 (noumin): farmers, peasants",農民
能力 (nouryoku): ability,能力
"除く (nozoku): to exclude, to except",除く
"望み (nozomi): hope, desire, wish",望み
"望む (nozomu): to desire, to wish for",望む
"抜ける (nukeru): to come out, to fall out",抜ける
"抜く (nuku): to extract, to omit",抜く
布 (nuno): cloth,布
入学 (nyuugaku): matriculation,入学
入院 (nyuuin): hospitalization,入院
"入場 (nyuujou): entrance, admission",入場
"入力 (nyuuryoku): input, (data) entry",入力
入社 (nyuusha): joining a company,入社
溺れる (oboreru): to drown,溺れる
"帯 (obi): obi, kimono sash",帯
"落ち着く (ochitsuku): to calm down, to compose oneself",落ち着く
"穏やか (odayaka): calm, gentle, quiet",穏やか
終える (oeru): to finish,終える
"老い (oi): old age, old person",老い
"お辞儀 (ojigi): bow, bowing",お辞儀
"丘 (oka): hill, height",丘
沖 (oki): open sea,沖
"起こる (okoru): to occur, to happen",起こる
奥 (oku): inner part,奥
贈る (okuru): to give (as a gift),贈る
"主に (omo ni): mainly, primarily",主に
思い出 (omoide): memories,思い出
思わず (omowazu): unintentionally,思わず
"おむつ: diaper, nappy",おむつ:
"恩 (on): favor, debt of gratitude",恩
"温暖 (ondan): warm, mild",温暖
温度 (ondo): temperature,温度
鬼 (oni): demon,鬼
温泉 (onsen): hot spring,温泉
追い付く (oitsuku): to catch up with,追い付く
大雨 (ooame): heavy rain,大雨
"大型 (oogata): large, larged-size",大型
"大いに (ooi ni): very, much, greatly",大いに
"覆う (oou): to cover, to conceal",覆う
"大家 (ooya): landlord, landlady",大家
大雪 (ooyuki): heavy snow,大雪
"下す (orosu): to lower, to drop",下す
"降ろす (orosu): to take down, to unload",降ろす
"収める (osameru): to dedicate, to supply",収める
"幼い (osanai): very young, childish",幼い
"抑える (osaeru): to restrain, to control",抑える
"汚染 (osen): pollution, contamination",汚染
"お喋り (oshaberi): chattering, talk",お喋り
"おしまい: the end, closing",おしまい:
"おすすめ: recommendation, suggestion",おすすめ:
劣る (otoru): to be inferior to,劣る
"恐らく (osoraku): perhaps, likely",恐らく
"恐れる (osoreru): to fear, to be afraid of",恐れる
"恐ろしい (osoroshii): terrible, dreadful",恐ろしい
お互い (otagai): mutual,お互い
"おとなしい: obedient, docile, quiet",おとなしい:
"追う (ou): to chase, to run after",追う
"応募 (oubo): application, enlistment",応募
"応援 (ouen): aid, assistance, help",応援
往復 (oufuku): making a round trip,往復
"王/王様 (ou/ousama): king, ruler",王/王様
"横断 (oudan): crossing, traverse",横断
王子 (ouji): prince,王子
"応じる (oujiru): to respond, to comply",応じる
応用 (ouyou): putting to practical use,応用
終 (owari): the end,終
"及ぼす (oyobosu): to exert, to cause",及ぼす
泳ぎ (oyogi): swimming,泳ぎ
"凡そ (oyoso): about, roughly",凡そ
ぺらぺら: fluently,ぺらぺら:
"ぴったり (pittari): exactly, tightly",ぴったり
"楽 (raku): comfort, ease",楽
"例 (rei): example, case",例
"礼儀 (reigi): manners, courtesy",礼儀
"冷静 (reisei): calm, composure",冷静
連絡先 (renrakusaki): contact address,連絡先
"練習 (renshuu): practice, practicing",練習
連想 (rensou): association of ideas,連想
"連続 (renzoku): serial, consecutive",連続
列車 (ressha): train (ordinary),列車
"列 (retsu): queue, line",列
"利益 (rieki): profit, gains",利益
"理解 (rikai): understanding, comprehension",理解
離婚 (rikon): divorce,離婚
"利口 (rikou): clever, intelligent",利口
"立派 (rippa): splendid, fine",立派
理想 (risou): ideal,理想
"率 (ritsu): rate, ratio",率
"利用者 (riyousha): user, consumer",利用者
"論文 (ronbun): thesis, essay",論文
"論じる (ronjiru): to argue, to debate",論じる
"論争 (ronsou): controversy, dispute",論争
"労働 (roudou): manual labor, work",労働
"老人 (roujin): the aged, old person",老人
"量 (ryou): quantity, amount",量
"両替 (ryougae): change, money exchange",両替
"料金 (ryoukin): fee, charge, fare",料金
領収書 (ryoushuusho): hand-written receipt,領収書
留学 (ryuugaku): studying abroad,留学
"流行 (ryuukou): fashion, vogue",流行
"差 (sa): difference, variation",差
砂漠 (sabaku): desert,砂漠
差別 (sabetsu): discrimination,差別
"作業 (sagyou): work, operation",作業
"作法 (sahou): manners, etiquette",作法
"裁判 (saiban): trial, judgement",裁判
最上 (saijou): best,最上
"参加者 (sankasha): participant, entrant",参加者
"最高 (saikou): highest, supreme",最高
"才能 (sainou): talent, ability",才能
"最終 (saishuu): last, final",最終
"最低 (saitei): least, lowest, worst",最低
"幸い (saiwai): happiness, luckily",幸い
"境 (sakai): border, boundery",境 (sakai):
"逆らう (sakarau): to go against, to oppose",逆らう
"盛り (sakari): peak, height",盛り
"叫ぶ (sakebu): to shout, to cry",叫ぶ
"避ける (sakeru): to avoid, to ward off",避ける
"作家 (sakka): author, writer",作家
作曲 (sakkyoku): composition,作曲
"作品 (sakuhin): work, production",作品
"作物 (sakumotsu): produce, crops",作物
桜 (sakura): cherry blossom,桜
覚ます (samasu): to awaken,覚ます
覚める (sameru): to wake up,覚める
"様々 (samazama): varied, various",様々
参加 (sanka): participation,参加
"参考 (sankou): reference, consultation",参考
"賛成 (sansei): approval, agreement",賛成
酸素 (sanso): oxygen,酸素
さっぱり (sappari): feeling refreshed,さっぱり
"更に (sara ni): furthermore, again",更に
"去る (saru): to leave, to go away",去る
猿 (saru): monkey,猿
"支える (sasaeru): to support, to prop",支える
"誘う (sasou): to invite, to call for",誘う
"指す (sasu): to point, to indicate",指す
"さっそく: at once, immediately",さっそく:
"偖 (sate): well, now, then",偖
"札 (satsu): note, paper money",札
"騒ぎ (sawagi): uproar, disturbance",騒ぎ
"左右 (sayuu): left and right, control",左右
"正 (sei): true, regular",正
性 (sei): gender,性
"所為 (sei): consequence, result, blame",所為
"製 (sei): -made, make",製
性別 (seibetsu): gender,性別
生物 (seibutsu): living things,生物
"成長 (seichou): growth, grow to adulthood",成長
"制度 (seido): system, institution",制度
"政府 (seifu): government, administration",政府
制服 (seifuku): uniform,制服
"制限 (seigen): restriction, restraint",制限
製品 (seihin): manufactured goods,製品
"政治家 (seijika): politician, statesman",政治家
成人 (seijin): adult,成人
"正常 (seijou): normalcy, normality",正常
"正解 (seikai): correct, right",正解
"性格 (seikaku): character, personality",性格
"正確 (seikaku): accurate, punctual",正確
"清潔 (seiketsu): clean, sanitary",清潔
"世紀 (seiki): century, era",世紀
"成功 (seikou): success, hit",成功
"請求 (seikyuu): claim, demand, charge",請求
"生命 (seimei): life, existence",生命
"青年 (seinen): youth, young man",青年
"整理 (seiri): sorting, arrangement",整理
"生産 (seisan): production, manufacture",生産
"成績 (seiseki): results, grade",成績
"正式 (seishiki): official, formality",正式
"精神 (seishin): spirit, heart, mind",精神
"精々 (seizei): at the most, at best",精々
"製造 (seizou): manufacture, production",製造
"世間 (seken): world, society",世間
咳 (seki): cough,咳
"責任 (sekinin): duty, responsibility",責任
石炭 (sekitan): coal,石炭
"石油 (sekiyu): oil, petroleum",石油
"せっかく: with trouble, at great pains",せっかく:
"設計 (sekkei): plan, design, layout",設計
"積極的 (sekkyokuteki): assertive, positive",積極的
"責める (semeru): to blame, to condemn",責める
"宣伝 (senden): publicity, advertisement",宣伝
先日 (senjitsu): the other day,先日
専攻 (senkou): major subject,専攻
"専門 (senmon): specialty, area of expertise",専門
"専門家 (senmonka): specialist, expert",専門家
"選手 (senshu): player, team member",選手
"選択 (sentaku): selection, choice",選択
説 (setsu): theory,説
"設備 (setsubi): equipment, device",設備
"説明会 (setsumeikai): information session, briefing",説明会
"節約 (setsuyaku): economizing, saving",節約
"喋る (shaberu): to talk, to chat",喋る
車道 (shadou): roadway,車道
社員 (shain): company employee,社員
"借金 (shakkin): debt, loan, liabilities",借金
詩 (shi): poem,詩
"幸せ (shiawase): happiness, good fortune",幸せ
"芝居 (shibai): play, drama",芝居
芝生 (shibafu): lawn,芝生
"縛る (shibaru): to tie, to bind, to fasten",縛る
"屡々 (shibashiba): often, again and again",屡々
"死亡 (shibou): death, mortality",死亡
"次第に (shidai ni): gradually, in sequence",次第に
"指導 (shidou): leadership, guidance",指導
"指導者 (shidousha): leader, guide",指導者
"刺激 (shigeki): stimulus, impetus",刺激
資源 (shigen): resources,資源
"支配 (shihai): domination, rule",支配
支払い (shiharai): payment,支払い
支払う (shiharau): to pay,支払う
"始発 (shihatsu): first train, first bus",始発
"資本 (shihon): funds, capital",資本
詩人 (shijin): poet,詩人
"然も (shika mo): moreover, furthermore",然も
"式 (shiki): equation, ceremony, style",式
"頻りに (shikiri ni): frequently, repeatedly",頻りに
"湿気 (shikke): moisture, humidity, dampness",湿気
"支給 (shikyuu): provision, supply",支給
姉妹 (shimai): sisters,姉妹
"仕舞う (shimau): to finish, to stop",仕舞う
"締め切り (shimekiri): deadline, closing",締め切り
"占める (shimeru): to occupy, to hold",占める
"締める (shimeru): to tie, to fasten, to tighten",締める
"示す (shimesu): to show, to indicate",示す
霜 (shimo): frost,霜
"品 (shina): article, item, goods",品
"身長 (shinchou): height (of body), stature",身長
"慎重 (shinchou): careful, cautious, prudent",慎重
進学 (shingaku): entering a higher-level school,進学
"信号 (shingou): signal, traffic light",信号
"信じる (shinjiru): to believe, to trust",信じる
"新幹線 (shinkansen): Shinkansen, bullet train",新幹線
"神経 (shinkei): nerve, sensitivity",神経
"真剣 (shinken): seriousness, earnestness",真剣
"深刻 (shinkoku): serious, severe",深刻
"信仰 (shinkou): faith, belief",信仰
"信念 (shinnen): belief, faith, conviction",信念
"新入生 (shinnyuusei): new student, freshman",新入生
"審判 (shinpan): refereeing, trial",審判
"進歩 (shinpo): progress, advance",進歩
"信頼 (shinrai): reliance, trust",信頼
"心理 (shinri): state of mind, mentality",心理
"森林 (shinrin): forest, woods",森林
診察 (shinsatsu): medical examination,診察
"親戚 (shinseki): relative, relation",親戚
新鮮 (shinsen): fresh,新鮮
"信用 (shin’you): confidence, credit",信用
親友 (shin’yuu): close friend,親友
"心臓 (shinzou): heart, guts, nerve",心臓
調べ物 (shirabemono): matter to be checked or investigated,調べ物
"知らせ (shirase): news, notice",知らせ
"尻 (shiri): buttocks, bottom",尻
知り合い (shiriai): acquaintance,知り合い
知り合う (shiriau): to get to know (someone),知り合う
城 (shiro): castle,城
"印 (shirushi): seal, stamp, mark",印
"資料 (shiryou): materials, data, document",資料
"姿勢 (shisei): posture, attitude",姿勢
試食 (shishoku): sampling food,試食
支出 (shishutsu): expenditure,支出
"思想 (shisou): thought, idea",思想
舌 (shita): tongue,舌
従う (shitagau): to abide (by the rules),従う
"親しい (shitashii): intimate, close",親しい
"指定 (shitei): assignment, appointment",指定
支店 (shiten): branch office,支店
"質 (shitsu): quality, value",質
"失望 (shitsubou): disappointment, despair",失望
湿度 (shitsudo): level of humidity,湿度
失業 (shitsugyou): unemployment,失業
"しつこい: obstinate, persistent",しつこい:
"室内 (shitsunai): indoor, inside the room",室内
"市役所 (shiyakusho): municipal office, city hall",市役所
"使用 (shiyou): use, application",使用
"自然 (shizen): nature, natural",自然
"沈む (shizumu): to sink, to go under",沈む
食器 (shokki): tableware,食器
"職 (shoku): job, work, employment",職
"職場 (shokuba): place of work, workplace",職場
"植物 (shokubutsu): plant, vegetation",植物
"職業 (shokugyou): occupation, business",職業
"食品 (shokuhin): food, foodstuff",食品
"食物 (shokumotsu): food, foodstuff",食物
食卓 (shokutaku): dining table,食卓
食欲 (shokuyoku): appetite (for food),食欲
食料 (shokuryou): food,食料
"食糧 (shokuryou): provisions, food supply",食糧
署名 (shomei): signature,署名
書物 (shomotsu): books,書物
"処理 (shori): processing, dealing with",処理
"書類 (shorui): documents, official papers",書類
"書斎 (shosai): study, library",書斎
"章 (shou): chapter, section",章
"賞 (shou): prize, award",賞
"商売 (shoubai): trade, business",商売
消防 (shoubou): fire fighting,消防
"承知 (shouchi): knowledge, awareness",承知
"障害 (shougai): obstacle, impediment",障害
奨学金 (shougakukin): scholarship,奨学金
小学生 (shougakusei): primary school student,小学生
"正午 (shougo): noon, midday",正午
"消費 (shouhi): consumption, expenditure",消費
"商品 (shouhin): commodity, goods",商品
"正直 (shoujiki): honesty, integrity",正直
"生じる (shoujiru): to produce, to yield",生じる
"少女 (shoujo): little girl, young lady",少女
"症状 (shoujou): symptoms, condition",症状
"証明 (shoumei): proof, verification",証明
"少年 (shounen): boy, juvenile",少年
"商人 (shounin): trader, merchant",商人
"承認 (shounin): recognition, acknowledgement",承認
"小説家 (shousetsuka): novelist, fiction writer",小説家
少々 (shoushou): just a minute,少々
"衝突 (shoutotsu): collision, crash",衝突 (shoutotsu):
"出張 (shucchou): official tour, business trip",出張
"主張 (shuchou): claim, insistence",主張
"手段 (shudan): means, way, measure",手段
"主婦 (shufu): housewife, mistress",主婦
"主義 (shugi): principle, rule, doctrine",主義
手術 (shujutsu): surgical operation,手術
"瞬間 (shunkan): moment, instant, second",瞬間
"出勤 (shukkin): going to work, leaving for work",出勤
"縮小 (shukushou): reduction, curtailment",縮小
"種類 (shurui): variety, kind, type",種類
首相 (shushou): Prime Minister,首相
首都 (shuto): capital city,首都
宿泊 (shukuhaku): lodging,宿泊
出版 (shuppan): publication,出版
"主要 (shuyou): chief, main, principle",主要
出身 (shusshin): person’s origin,出身
集中 (shuuchuu): concentration,集中
"集団 (shuudan): group, mass",集団
"集合 (shuugou): gathering, assembly, meeting",集合
"周囲 (shuui): surroundings, environs",周囲
"収穫 (shuukaku): harvest, crop",収穫
週間 (shuukan): week,週間
週刊 (shuukan): weekly publication,週刊
宗教 (shuukyou): religion,宗教
週末 (shuumatsu): weekend,週末
"収入 (shuunyuu): income, revenue",収入
"修理 (shuuri): repairing, mending",修理
"終了 (shuuryou): end, close, termination",終了
"修正 (shuusei): amendment, correction",修正
就職 (shuushoku): finding employment,就職
"終点 (shuuten): terminus, last stop (e.g. train)",終点
育つ (sodatsu): to be raised,育つ
袖 (sode): sleeve,袖
祖父母 (sofubo): grandparents,祖父母
"底 (soko): bottom, sole",底
"速度 (sokudo): speed, velocity",速度
"そっくり (sokkuri): all, together, just like",そっくり
"粗末 (somatsu): rude, rough, plain",粗末
"損 (son): loss, disadvantage",損
"備える (sonaeru): to furnish, to provide for",備える
"尊重 (sonchou): respect, esteem",尊重
"損害 (songai): damage, injury, loss",損害
"尊敬 (sonkei): respect, esteem",尊敬
"存在 (sonzai): existence, being",存在
"夫々 (sorezore): each, respectively",夫々
"注ぐ (sosogu): to pour into, to fill",注ぐ
組織 (soshiki): organization,組織
"装置 (souchi): equipment, installation",装置
早朝 (souchou): early morning,早朝
掃除機 (soujiki): vacuum cleaner,掃除機
騒音 (souon): noise,騒音
"操作 (sousa): operation, management",操作
早退 (soutai): leaving early,早退
"相当 (soutou): considerable, suitable",相当
"相続 (souzoku): succession, inheritance",相続
"想像 (souzou): imagination, guess",想像
"そっと: secretly, gently",そっと:
"巣 (su): nest, hive",巣
