N2 Vocabulary,Character
常温 (jouon): normal temperature; room temperature,常温
上陸 (jouriku): landing; disembarkation; landfall,上陸
"乗車 (jousha): boarding (a train, bus, etc.); getting into (e.g. a taxi)",乗車
上司 (joushi): (one’s) superior; (one’s) boss; the higher-ups,上司
上昇 (joushou): rising; ascending; climbing,上昇
錠剤 (jouzai): pill; lozenge; tablet,錠剤
受動的 (judouteki): passive,受動的
受験生 (jukensei): student preparing for or taking examinations (usu. entrance exams); test-taker,受験生
受講 (jukou): taking (attending) lectures,受講
塾 (juku): coaching school; cramming school; juku,塾
寿命 (jumyou): life span,寿命
順位 (jun’i): order; rank; position (e.g. in a race); precedence,順位
循環 (junkan): circulation; rotation; cycle; loop,循環
順に (jun ni): in order; in turn; one by one,順に
順序 (junjo): order; sequence; procedure,順序
順応 (junnou): adaptation; accommodation; conforming; adjustment ; acclimatization,順応
純粋 (junsui): pure; true; genuine; unmixed,純粋
受診 (jushin): having a medical examination; seeing a doctor,受診
受賞 (jushou): winning (a prize),受賞
充電 (juuden): charging (electrically),充電
充実感 (juujitsukan): sense of fulfillment; sense of completeness; sense of accomplishment; sense of contentment,充実感
充満 (juuman): being filled with; being full of; permeation,充満
柔軟 (juunan): flexible; lithe; soft; pliable,柔軟
充実 (juujitsu): fullness; completion; perfection; enhancement; improvement; enrichment; upgrading,充実
充実感 (juujitsukan): sense of fulfillment; sense of completeness; sense of accomplishment; sense of contentment,充実感
住宅地 (juutakuchi): housing district; residential district,住宅地
重役 (juuyaku): (company) director; executive; top management ; important post; role with heavy responsibilities,重役
課 (ka): lesson; section (in an organization); division; department ; counter for lessons and chapters (of a book),課
価値観 (kachikan): sense of values; values; value system,価値観
課題 (kadai): subject; theme; issue; matter ; homework; assignment ; task; challenge; problem; question,課題
過度 (kado): excessive; immoderate,過度
花粉 (kafun): pollen,花粉
花粉症 (kafunshou): hay fever; pollinosis (allergy to pollen),花粉症
"輝かしい (kagayakashii): brilliant; glorious; glittering; bright; splendid (e.g. achievement, success); promising (e.g. future)",輝かしい
輝き (kagayaki): brightness; brilliance; brilliancy; radiance; glitter,輝き
過激 (kageki): extreme; radical,過激
限り (kagiri): limit; limits; bounds ; degree; extent; scope,限り
限りない (kagirinai): eternal; unlimited; endless,限りない
嗅ぐ (kagu): to sniff; to smell,嗅ぐ
下位 (kai): low rank; lower position; subordinate position; lower order (e.g. byte),下位
開封 (kaifuu): opening (an envelope or parcel); breaking the seal; unsealed letter,開封
介護 (kaigo): nursing; care; caregiving; caring,介護
介護施設 (kaigoshisetsu): nursing home; rest home,介護施設
開発 (kaihatsu): development; exploitation,開発
解放 (kaihou): release; unleashing; liberation; emancipation; setting free,解放
開放感 (kaihoukan): sense of space; spaciousness,開放感
会員証 (kaiinshou): membership card; membership certificate,会員証
開会 (kaikai): opening of a meeting,開会
会見 (kaiken): interview; audience; meeting; (viewing) party,会見
解決策 (kaiketsusaku): solution; solution strategy,解決策
開幕 (kaimaku): raising the curtain ; opening (of an event); start of a season,開幕
皆無 (kaimu): nonexistent; nil; none; nothing (at all); bugger-all,皆無
飼い主 (kainushi): shepherd; (pet) owner,飼い主
回覧 (kairan): circulation (esp. documents); sending round,回覧
改良 (kairyou): improvement; reform,改良
"開催 (kaisai): holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)",開催
"解散 (kaisan): breaking up (e.g. meeting); dispersing (e.g. crowd) ; dissolving (company, organization, etc.); liquidating; disbanding",解散
改正 (kaisei): revision; amendment; alteration,改正
開設 (kaisetsu): establishment; opening; setting up; inauguration,開設
解説 (kaisetsu): explanation; commentary; exposition; elucidation,解説
買い占める (kaishimeru): to buy up,買い占める
解消 (kaishou): cancellation; liquidation; resolution; reduction (e.g. of stress),解消
海水浴 (kaisuiyoku): swimming in the ocean; sea bathing; seawater bath; going for a dip in the ocean,海水浴
回数 (kaisuu): number of times; frequency; count,回数
改訂 (kaitei): revision (of text); alteration; change,改訂
回転 (kaiten): rotation (usu. around something); revolution; turning,回転
開店 (kaiten): opening a new shop ; opening a shop (for the day),開店
回答 (kaitou): reply; answer,回答
解約 (kaiyaku): cancellation of contract,解約
果実 (kajitsu): fruit; nut; berry ; profit,果実
過剰 (kajou): excess; surplus; superabundance; overabundance,過剰
係 (kakari): charge; duty; person in charge; official; clerk,係
欠かせない (kakasenai): indispensable; vital; fundamental; imperative; crucial,欠かせない
欠かす (kakasu): to miss (doing); to fail (to do),欠かす
関わり合う (kakawariau): to get involved or entangled in; to get mixed up in; to have something to do with; to have dealings with,関わり合う
下記 (kaki): the following,下記
夏期 (kaki): summer term (e.g. school); summer period,夏期
格好つける (kakkou tsukeru): to affect a stylish air; to try to look good; to show off,格好つける
隔 (kaku): every other; second; alternate,隔
格別 (kakubetsu): particular; special; exceptional; especial,格別
角度 (kakudo): angle,角度
確保 (kakuho): securing; obtaining; ensuring; guarantee; maintaining,確保
各位 (kakui): everyone; each and every one (of you); ladies and gentlemen,各位
各自 (kakuji): each (person); everyone; individual; respective,各自
確率 (kakuritsu): probability; likelihood; chances,確率
獲得 (kakutoku): acquisition; possession,獲得
格安 (kakuyasu): cheap; reasonable,格安
歓迎会 (kangeikai): welcome party,歓迎会
活発 (kappatsu): lively; active; vigorous; animated; brisk,活発
係 (kakari): charge; duty; person in charge; official; clerk,係
係員 (kakariin): person in charge; official; attendant,係員
"駆け抜ける (kakenukeru): to run past from behind; to run through (e.g. gate, one’s mind)",駆け抜ける
拡充 (kakujuu): expansion,拡充
確信 (kakushin): conviction; belief; confidence,確信
確定 (kakutei): decision; settlement,確定
感 (kan): (prefix) feeling; sensation; emotion; admiration; impression,感
"叶う (kanau): to come true (of a wish, prayer, etc.); to be realized; to be fulfilled; to suit (e.g. a purpose); to meet (wishes, ideals, etc.); to conform to (standards, rules, etc.); to be consistent with",叶う
完備 (kanbi): (being) fully equipped; (being) fully furnished,完備
勘違い (kanchigai): misunderstanding; mistaken idea; wrong guess,勘違い
加熱 (kanetsu): heating; application of heat,加熱
看護 (kango): nursing; (army) nurse,看護
看護師 (kangoshi): (hospital) nurse; registered nurse,看護師
感じ取る (kanjitoru): to perceive; to sense; to take in; to grasp; to feel,感じ取る
簡潔 (kanketsu): brevity; conciseness; simplicity,簡潔
観光地 (kankouchi): tourist attraction; sight-seeing area,観光地
観念 (kannen): idea; notion; concept; conception ; sense (e.g. of duty),観念
完璧 (kanpeki): perfect; complete; flawless,完璧
簡略 (kanryaku): simple; simplicity; brief; brevity,簡略
簡略化 (kanryakuka): simplification,簡略化
観戦 (kansen): watching a (sports) game; spectating; observing (military operations),観戦
観測 (kansoku): observation; survey; measurement,観測
"鑑賞 (kanshou): appreciation (of art, music, poetry, etc.)",鑑賞
観点 (kanten): point of view,観点
勧誘 (kan’yuu): invitation; solicitation; canvassing; canvasing; inducement; persuasion; encouragement,勧誘
絡む (karamu): to entangle; to entwine ; to pick a quarrel; to find fault,絡む
仮に (kari ni): supposing; even if; granting that; for argument’s sake; temporarily; provisionally; for the time being,仮に
軽々 (karugaru): lightly; easily; carelessly,軽々
重なる (kasanaru): to be piled up; to lie on top of one another ; to come one after another; to happen over and over; to pile up (e.g. stress); to accumulate,重なる
歌詞 (kashi): song lyrics; words of a song; libretto,歌詞
貸し出し (kashidashi): lending; loaning,貸し出し
箇所 (kasho): passage; place; point; part,箇所
加速 (kasoku): acceleration; speeding up,加速
かすか: faint; dim; weak; slight; vague; indistinct; hazy ; poor; wretched; meagre; meager; scanty,かすか:
課する (kasuru): to levy; to charge; to assess; to impose; to assign,課する
肩幅 (katahaba): shoulder width (breadth),肩幅
傾く (katamuku): to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to,傾く
語りかける (katarikakeru): to make a speech; to address,語りかける
偏る (katayoru): to lean (to one side); to incline ; to be unbalanced (e.g. diet); to be unduly weighted towards; to be concentrated on ; to be partial; to be biased; to be prejudiced,偏る
片付け (katazuke): tidying up; finishing,片付け
片付く (katazuku): to be put in order; to be put to rights ; to be disposed of; to be solved,片付く
過程 (katei): process; course; mechanism,過程
下等 (katou): inferior; base; vulgar; low grade; lower class,下等
活字 (katsuji): printing type; movable type ; printed text; print,活字
活力 (katsuryoku): vitality; energy; dynamism,活力
活躍 (katsuyaku): activity (esp. energetic); great efforts; conspicuous service ; to flourish; to participate actively; to play an active role,活躍
可愛がる (kawaigaru): to love; to cherish; to be affectionate to; to treat tenderly; to dote on ; to show favouritism to; to be partial to,可愛がる
変わった (kawatta): another; different; various; particular; unusual; novel; peculiar,変わった
かゆい : itchy,かゆい
飾り付け (kazaritsuke): decoration; arrangement,飾り付け
数々 (kazukazu): many; numerous; various; large number of,数々
数多く (kazuooku): in great numbers,数多く
決着 (kecchaku): conclusion; decision; end; settlement,決着
気配 (kehai): indication; sign; hint; presence; trend,気配
警備 (keibi): defense; defence; guard; policing; security,警備
警備員 (keibihin): guard; security (officer); guardsman,警備員
経営者 (keieisha): manager; proprietor,経営者
軽減 (keigen): abatement; reduction,軽減
経費 (keihi): expenses; cost; outlay,経費
契機 (keiki): opportunity; chance ; trigger; cause,契機
蛍光灯 (keikoutou): fluorescent lamp; fluorescent light,蛍光灯
経理 (keiri): accounting; administration (of money),経理
掲載 (keisai): publication (e.g. of an article in a newspaper); carrying (e.g. a story); running (e.g. a serial); insertion (e.g. of an advertisement); printing; posting (e.g. on the web),掲載
軽視 (keishi): making light of; thinking little of; slighting; belittling; dismissing; contempt; disdain,軽視
形式 (keishiki): form (as opposed to substance); formality,形式
計測 (keisoku): measuring; measurement,計測
携帯 (keitai): something carried (in the hand); handheld; portable ; mobile telephone; cell phone (abbreviation),携帯
毛糸 (keito): knitting wool; woollen yarn,毛糸
系統 (keitou): system; lineage; ancestry; family line ; group (e.g. of colors) (colours); family (e.g. of languages); party; school (of thought),系統
継続 (keizoku): continuation,継続
謙虚 (kenkyo): modest; humble,謙虚
検索 (kensaku): looking up (e.g. a word in a dictionary); retrieval (e.g. data); searching for; referring to,検索
検診 (kenshin): physical examination; medical examination; health checkup; health screening,検診
研修 (kenshuu): training (esp. in-service); induction course,研修
研修会 (kenshuukai): workshop; training course,研修会
謙遜 (kenson): modesty; humility; being humble,謙遜
決勝 (kesshou): decision of a contest; finals (in sports),決勝
決勝戦 (kesshousen): championship game; finals (of a tournament); deciding round,決勝戦
桁 (keta): column; beam; girder; crossbeam; spar; yard ; digit; decade; order of magnitude,桁
決断 (ketsudan): decision; determination,決断
険しい (kewashii): precipitous; rugged; inaccessible; impregnable; steep ; grim; severe; stern,険しい
"削る (kezuru): to shave (wood, leather, etc.); to sharpen (e.g. pencil); to plane; to whittle; to pare; to scrape off; to erode ; to cut down (budget, expenses, staff, time, etc.); to curtail; to reduce",削る
気が重い (ki ga omoi): depressed; bummed out; down; heavy-hearted; heavy-spirited; feeling reluctant (to do),気が重い
気が進まない (ki ga susumanai): reluctant to; not inclined to; disinclined; unwilling,気が進まない
気を落とす (ki o otosu): to be discouraged; to be disheartened,気を落とす
気を使う (ki o tsukau): to pay attention to another’s needs; to attend to; to fuss about; to take into consideration,気を使う
気を失う (ki o ushinau): to lose consciousness; to faint; to black out,気を失う
機敏 (kibin): clever; shrewd; canny; smart; quick; prompt,機敏
規模 (kibo): scale; scope; plan; structure,規模
気分転換 (kibuntenkan): change of pace; change of mood; (mental) break (e.g. going for a walk); refreshment,気分転換
きっちり: exactly; precisely; punctually; on the dot; closely; tightly; (fitting) perfectly ; properly; without fail,きっちり:
気軽 (kigaru): carefree; buoyant; lighthearted; sprightly,気軽
器具 (kigu): utensil; apparatus; implement; device; gadget,器具
期日 (kijitsu): fixed date; settlement date,期日
企画 (kikaku): planning; project; plan; design,企画
機器 (kiki): device; equipment; machinery; apparatus,機器
聞き手 (kikite): hearer; listener; audience; interviewer; questioner,聞き手
聞き取る (kikitoru): to catch (a person’s words); to make out; to follow; to understand,聞き取る
気配り (kikubari): care; attentiveness; attention; consideration (for others); solicitude,気配り
決め付ける (kimetsukeru): to fix upon (one-sidedly); to (ignore somebody’s position and) arbitrarily decide something is the case,決め付ける
緊張感 (kinchoukan): feeling of tension; air of tension; tension; nervousness,緊張感
金魚 (kingyo): goldfish,金魚
勤務 (kinmu): service; duty; work,勤務
近年 (kinnen): recent years,近年
近隣 (kinrin): neighborhood; vicinity,近隣
絹 (kinu): silk,絹
金融 (kinyuu): finance; financing; credit transacting; loaning of money; circulation of money,金融
きっぱり : clearly; plainly; distinctly,きっぱり
気楽 (kiraku): carefree; comfortable; at ease ; easygoing; happy-go-lucky,気楽
切り上げる (kiriageru): to close (at a certain point); to cut short; to stop early; to finish (at a convenient spot) ; to round up (number),切り上げる
切り取る (kiritoru): to cut off; to excise; to tear off; to cut out; to whittle down; to tear out; to cut down; to amputate,切り取る
帰省 (kisei): homecoming; returning home,帰省
貴社 (kisha): your company (honorific),貴社
気象 (kishou): weather; climate,気象
機種 (kishu): type of equipment; model,機種
競う (kisou): to compete; to contend; to vie; to contest,競う
鍛える (kitaeru): to forge; to temper ; to drill; to train; to discipline,鍛える
規定 (kitei): stipulation; prescription; provision; regulation; rule,規定
"刻み込む (kizamikomu): to etch (name, etc.); to carve (design)",刻み込む
刻む (kizamu): to mince; to cut fine; to chop up; to hash; to shred ; to carve; to engrave; to chisel; to notch,刻む
傷物 (kizumono): defective article; damaged goods,傷物
個別 (kobetsu): particular case; discrete; individual; separate,個別
"こだわり : obsession; fixation; hangup; determination; fastidiousness; pickiness about (trait, style, etc.) ; complaining; criticizing",こだわり
拘る (kodawaru): to fuss over; to be particular about,拘る
孤独 (kodoku): solitude; loneliness; isolation,孤独
古風 (kofuu): old-fashioned; archaic; antique; antiquated,古風
小金 (kogane): small sum of money,小金
小柄 (kogara): small build; small stature; petite,小柄
焦げる (kogeru): to burn; to scorch; to char; to singe,焦げる
個人差 (kojinsa): individual differences; personal equation,個人差
個々 (koko): individual; one by one; separate,個々
心地良い (kokochiyoi): comfortable; pleasant,心地良い
試み (kokoromi): attempt; trial; experiment ; endeavour (endeavor); effort; venture; initiative,試み
心強い (kokorozuyoi): heartening; reassuring,心強い
快い (kokoroyoi): pleasant; agreeable; comfortable; refreshing,快い
細やか (komayaka): tender; warm; caring; thoughtful ; meticulous; detailed; attentive,細やか
小物 (komono): accessories; small articles,小物
根元/根本 (kongen): root; source; origin; foundation; base; principle,根元/根本
根性 (konjou): willpower; guts; determination; grit; spirit ; character; nature; disposition; personality,根性
根気 (konki): patience; perseverance; persistence; tenacity; energy,根気
今年度 (konnendo): this year; this fiscal year; this school year,今年度
好ましい (konomashii): nice; likeable; desirable,好ましい
この度 (konotabi): this occasion; at this time; now,この度
孤立 (koritsu): isolation; being alone; being friendless,孤立
個性 (kosei): individuality; personality; idiosyncrasy; character; individual characteristic,個性
子育て (kosodate): child rearing; child raising; raising children; parenting,子育て
"応える (kotaeru): to respond; to answer; to meet (e.g. demands, expectations)",応える
個体 (kotai): individual; specimen,個体
"固定 (kotei): fixing (in place); securing; anchoring; fastening down ; fixing (e.g. salary, capital); keeping the same",固定
"古典 (koten): classic (work, esp. book); the classics",古典
言葉遣い (kotobazukai): speech; expression; wording; language,言葉遣い
事柄 (kotogara): matter; thing; affair; circumstance,事柄
こつこつ : unflaggingly; steadily; untiringly; laboriously ; knocking; tapping; clicking; drumming,こつこつ
高 (kou): (prefix) high,高
好調 (kouchou): favorable; promising; satisfactory; in good shape,好調
高度 (koudo): altitude; height; elevation ; high-degree; high-grade; advanced; sophisticated; strong,高度
行動力 (koudouryoku): ability to take action; energy; fire; dynamism; leverage,行動力
公演 (kouen): public performance,公演
校外 (kougai): out-of-school; off-campus,校外
公害 (kougai): pollution; public nuisance; contamination,公害
後半 (kouhan): second half; latter half,後半
高品質 (kouhinshitsu): high quality,高品質
好印象 (kouinshou): good impression; favorable impression,好印象
向上 (koujou): elevation; rise; improvement; advancement; progress,向上
恒常 (koujou): constancy; permanence,恒常
"公開 (koukai): opening to the public; making available to the public; putting on display; exhibiting; showing (play, movie, etc.); holding (interview, etc.); open; public",公開
好感 (koukan): good feeling; good will; favourable impression; favorable impression,好感
後期 (kouki): latter period; second half; late stage; third trimester; second semester,後期
高級 (koukyuu): high class; high grade ; high rank; seniority,高級
交流会 (koukyuukai): gathering; mixer; meetup; assembly; social; exchange meeting,交流会
"項目 (koumoku): item; heading; category; clause ; headword (in a dictionary, encyclopedia, etc.); entry",項目
高熱 (kounetsu): high fever,高熱
光熱費 (kounetsuhi): cost of fuel and lighting; cost of heat and electricity; energy bill; utility cost,光熱費
好悪 (kouo): likes and dislikes,好悪
高齢 (kourei): advanced age; old age,高齢
高齢化 (koureika): population ageing (aging),高齢化
高齢者 (koureisha): old person; old people,高齢者
小売 (kouri): retail,小売
効率 (kouritsu): efficiency,効率
公立 (kouritsu): public (institution),公立
効力 (kouryoku): effect; efficacy; validity; potency,効力
工作 (kousaku): handicraft; work; construction; manufacturing ; maneuvering; manoeuvering,工作
考察 (kousatsu): consideration; inquiry; enquiry; investigation; study,考察
公正 (kousei): justice; fairness; impartiality,公正
光線 (kousen): beam; light ray,光線
講師 (koushi): lecturer,講師
更新 (koushin): renewal; update; innovation; improvement,更新
公衆 (koushuu): the public; general public,公衆
高層 (kousou): multistory; multistoried; high-rise; high; tall,高層
香水 (kousui): perfume,香水
"交代 (koutai): alternation; change; relief; relay; shift; substitution (sports, etc.); taking turns",交代
肯定 (koutei): affirmation,肯定
紅葉 (kouyou): autumn colours; fall colors; leaves changing color,紅葉
効用 (kouyou): use; utility; effect; benefit,効用
口座 (kouza): account (e.g. bank),口座
講座 (kouza): course (e.g. of lectures) ; academic teaching unit; lectureship; professorial chair,講座
構造 (kouzou): structure; construction; makeup; framework; organization; pattern,構造
小遣い (kozukai): pocket money; spending money; pin money; allowance,小遣い
怖がる (kowagaru): to be afraid of; to fear; to dread; to be nervous (about); to be shy (of),怖がる
苦 (ku): pain; anguish; suffering; distress; anxiety; worry; trouble; difficulty; hardship,苦
"砕く (kudaku): to break, to smash",砕く
くどい : verbose; importunate; wordy; repetitious; long-winded; heavy (taste); rich; strong; cloying; gaudy; loud,くどい
区切り (kugiri): punctuation; pause; juncture ; end; (place to) stop,区切り
苦情 (kujou): complaint; troubles; objection; grievance,苦情
組み替える (kumikaeru): to rearrange (classes); to recompose; to reset; to recombine (genes),組み替える
組み込む (kumikomu): to insert; to include; to incorporate; to cut in (printing),組み込む
暗闇 (kurayami): darkness; the dark,暗闇
繰り返し (kurikaeshi): repetition; repeat; reiteration; iteration; refrain; cycle ; repeatedly,繰り返し
車椅子 (kurumaisu): wheelchair; folding push-chair,車椅子
苦戦 (kusen): hard fight; close game; struggle; tight contest,苦戦
国々 (kuniguni): countries,国々
くしゃみ : sneeze,くしゃみ
くたくた : exhausted; tired; withered; worn out,くたくた
空洞 (kuudou): cave; hollow; cavity,空洞
空間 (kuukan): space; room; airspace,空間
空席 (kuuseki): empty seat; unoccupied seat ; vacancy; vacant post,空席
空想 (kuusou): daydream; fantasy; fancy; vision,空想
悔やむ (kuyamu): to mourn; to lament ; to be sorry; to regret; to repent,悔やむ
崩す (kuzusu): to destroy; to demolish; to pull down; to tear down; to level ; to break (a bill); to change; to make change,崩す
客観的 (kyakkanteki): objective,客観的
"客席 (kyakuseki): guest seating (e.g. theater, stadium); passenger seat (e.g. taxi) ; audience",客席
拒否 (kyohi): refusal; rejection; denial; veto,拒否
曲線 (kyokusen): curve,曲線
極端 (kyokutan): extreme; extremity,極端
強風 (kyoufuu): strong wind; high wind; moderate gale,強風
教員 (kyouin): teacher; instructor; teaching staff; faculty member,教員
強弱 (kyoujaku): strength and weakness; (degree of) strength ; stress (of a sound); loudness,強弱
強化 (kyouka): strengthening; intensifying; reinforcement; enhancement; solidification,強化
協会 (kyoukai): association; society; organization; organisation,協会
教師 (kyoushi): teacher (classroom),教師
恐縮 (kyoushuku): feeling obliged; being grateful; being thankful; being sorry; being ashamed,恐縮
教養 (kyouyou): cultivation; refinement; culture; education,教養
共有 (kyouyuu): joint ownership; co-ownership; sharing (e.g. a viewpoint),共有
旧  (kyuu): ex-; former; old,旧 
休暇明け (kyuukaake): post-vacation,休暇明け
急病 (kyuubyou): sudden illness,急病
休業 (kyuugyou): closed (e.g. store); business suspended; shutdown; holiday,休業
求人 (kyuujin): recruiting; job offer; job vacancy,求人
休養 (kyuuyou): rest; break; recreation; recuperation; convalescence,休養
急増 (kyuuzou): rapid increase; proliferation; surge; explosion,急増
町並み (machinami): townscape; street (of stores and houses); (look of) stores and houses on street,町並み
まぶた : eyelid; eyelids,まぶた
間近 (madjika): proximity; nearness; soon; nearby,間近
窓際 (madogiwa): (at the) window,窓際
窓口 (madoguchi): ticket window; teller window; counter ; contact person; point of contact,窓口
魔法 (mahou): magic; witchcraft; sorcery,魔法
前向き (maemuki): front-facing; forward-looking; positive; constructive,前向き
間際 (magiwa): the point just before; the point of doing; the verge of happening,間際
巻き込む (makikomu): to roll up; to enfold; to swallow up ; to involve; to drag into,巻き込む
まく : to scatter; to sprinkle; to strew,まく
真似る (maneru): to mimic; to imitate,真似る
満員 (man’in): full house; no vacancy; sold out; standing room only; full (of people); crowded,満員
満足度 (manzokudo): (degree of) satisfaction,満足度
"稀 (mare): rare, seldom",稀
真っ先 (massaki): the head; the foremost; beginning; the very front,真っ先
真っ白 (masshiro): pure white,真っ白
まとめる: to collect; to put (it all) together; to integrate; to consolidate; to unify ; to summarize; to aggregate ; to bring to a conclusion; to finalize; to settle; to put in order,まとめる:
目 (me): (suffix) ordinal number suffix,目
目に触れる (me ni fureru),目に触れる
目新しい (meatarashii): original; novel; new,目新しい
目当て (meate): mark; guide; landmark ; purpose; aim; goal; intention; end,目当て
目立つ (medatsu): to be conspicuous; to stand out,目立つ
恵み (megumi): blessing; grace,恵み
"恵む (megumu): to bless; to show mercy to ; to give (money, etc.)",恵む
名簿 (meibo): register of names; list of names; roll; register; roster,名簿
名物 (meibutsu): famous product; special product; speciality; specialty,名物
名産 (meisan): noted product; local specialty,名産
名刺 (meishi): business card,名刺
明示 (meiji): elucidation; explicit statement; specification,明示
明確 (meikaku): clear; precise; definite; distinct,明確
"名門 (meimon): noted family; noble family ; prestigious school, organization, business, etc.",名門
明瞭 (meiryou): clear; plain; distinct; obvious; evident; articulate,明瞭
名所 (meisho): famous place,名所
目印 (mejirushi): mark; sign; landmark; benchmark,目印
面会 (menkai): meeting (face-to-face); interview,面会
面する (mensuru): to face on; to look out on to,面する
目線 (mesen): one’s gaze ; point of view; standpoint,目線
"目覚める (mezameru): to wake up; to awake ; to awaken to (instinct, ability, perception, etc.); to become aware of; to become conscious of; to realize ; to come to one’s senses",目覚める
未 (mi): (prefix) not yet; un-,未
見合う (miau): to exchange glances ; to correspond; to counterbalance,見合う
身振り手振り (miburiteburi): gestures; gesturing,身振り手振り
密着 (micchaku): close adhesion; sticking firmly to; being glued to,密着
道案内 (michiannai): guidance; showing the way; guide ; guidepost; signpost; waymark,道案内
導く (michibiku): to guide; to lead; to show the way; to conduct,導く
道のり (michinori): distance; journey; itinerary ; path (e.g. to one’s goal); way; process; route; road,道のり
乱れる (midareru): to be disordered; to be disarranged; to be disarrayed; to be disheveled; to be dishevelled,乱れる
見出し (midashi): heading; headline; title; caption,見出し
見張る (miharu): to stand watch; to stand guard; to look out,見張る
見直す (minaosu): to look at again ; to re-examine; to get a better opinion of; to see in a more positive light,見直す
見慣れる (minareru): to become used to seeing; to be familiar with,見慣れる
民家 (minka): private house,民家
見逃す (minogasu): to miss; to overlook; to fail to notice ; to let pass (a matter); to overlook (e.g. a wrongdoing); to turn a blind eye to,見逃す
身の回り (mi no mawari): one’s personal belongings; one’s vicinity; one’s daily life; everyday necessities,身の回り
民族 (minzoku): people; race; nation; ethnic group; ethnos,民族
密閉 (mippei): shutting tightly; sealing something airtight,密閉
"密接 (missetsu): close (relationship, connection, etc.); intimate; near ; close (together)",密接
"満たす (mitasu): to satisfy (conditions, one’s appetite, etc.); to meet (e.g. demands); to fulfill; to gratify",満たす
見通し (mitooshi): unobstructed view; perspective; visibility; vista ; forecast; outlook; prospect; prediction ; insight; foresight,見通し
見積書 (mitsumorisho): written estimate; quotation; quote,見積書
見積もる (mitsumoru): to estimate,見積もる
見分ける (miwakeru): to distinguish; to recognize; to recognise; to tell apart; to differentiate (both figuratively and visually),見分ける
見渡す (miwatasu): to look out over; to survey (scene); to take an extensive view of,見渡す
"溝 (mizo): ditch; drain; gutter; trench ; groove; tread ; gap (between people, countries, etc.); gulf",溝
持ち出す (mochidasu): to take out; to carry out; to bring out from where it belongs ; to mention something; to broach a topic; to bring up (a subject),持ち出す
持ち込む (mochikomu): to take something into …; to bring in; to carry in,持ち込む
"持ち主 (mochinushi): owner; proprietor; possessor (e.g. of talent, beauty, etc.)",持ち主
潜る (moguru): to dive (into or under water) ; to get under; to get into; to get in; to creep into; to crawl under; to bury oneself; to burrow into; to dig oneself into; to snuggle under,潜る
模範 (mohan): exemplar; model; example; pattern,模範
模型 (mokei): model; dummy; maquette,模型
木製 (mokusei): wooden; made of wood,木製
目的地 (mokutekichi): place of destination,目的地
木材 (mokuzai): lumber; timber; wood,木材
問題点 (mondaiten): the problem (at issue); the point at issue; problematic issue; problem,問題点
"物真似 (monomane): mimicry; imitation (of someone, something)",物真似
物足りない (monotarinai): unsatisfied; unsatisfactory; insufficient,物足りない
盛り上がる (moriagaru): to swell; to rise; to bulge; to be piled up ; to rouse; to get excited,盛り上がる
もったいない: wasteful; a waste ; impious; profane; sacrilegious ; too good; more than one deserves; unworthy of,もったいない:
猛 (mou): (prefix): extreme; severe,猛
催し (moyooshi): event; festivities; function; social gathering; auspices; opening; holding (a meeting),催し
最寄り (moyori): nearest; neighboring; nearby,最寄り
無 (mu/bu): (prefix) un-; non-,無
無縁 (muen): unrelated; irrelevant; indifferent ; without relations (esp. of a deceased person); having no surviving relatives cho,無縁
無限 (mugen): infinity; infinitude; eternity ; infinite; limitless,無限
無意識 (muishiki): unconsciousness; unconscious; involuntary; automatic; mechanical; unintentional; spontaneous,無意識
無条件 (mujouken): unconditional,無条件
矛盾 (mujun): contradiction; inconsistency,矛盾
無関係 (mukankei): unrelated,無関係
無関心 (mukanshin): apathetic; indifferent,無関心
昔話 (mukashibanashi): old tale; folk tale; legend ; reminiscence,昔話
むかつく : to feel irritated; to feel offended; to feel angry ; to feel sick; to feel nauseous,むかつく
向き合う (mukiau): to be opposite; to face each other ; to confront (an issue); to face,向き合う
無口 (mukuchi): taciturn; reticent; quiet; silent; untalkative,無口
無給 (mukyuu): unpaid; nonsalaried,無給
無線 (musen): radio (communication) ; wireless; not using wires,無線
蒸し暑い (mushiatsui): humid; sultry,蒸し暑い
結びつく (musubitsuku): to be related; to be connected; to be joined together ; to result in; to lead to; to bring about,結びつく
無数 (musuu): innumerable; countless; numberless,無数
傾らか (nadaraka): gently sloping; gentle; easy ; smooth,傾らか
長続き (nagatsuzuki): lasting long; continuation; keeping at (something); sticking to (something),長続き
嘆く (nageku): to lament; to grieve; to regret ; to deplore,嘆く
和やか (nagoyaka): mild; calm; gentle; quiet; congenial; amicable; amiable; friendly; genial; harmonious; peaceful,和やか
内 (nai): (suffix) inside; within,内
内部 (naibu): interior; inside; internal,内部
内包 (naihou): connotation; comprehension; intension ; inclusion; containment within,内包
内線 (naisen): phone extension; indoor wiring; inner line,内線
中庭 (nakaniwa): courtyard; quadrangle; middle court,中庭
"生中継 (namachuukei): live broadcast (radio, TV); live coverage",生中継
滑らか (nameraka): smooth (of a surface); glassy; velvety; soft,滑らか
何度も (nandomo): many times over; often,何度も
軟弱 (nanjaku): weakness,軟弱
何らか (nanraka): some; any; in any way; of some kind; of some sort,何らか
慣れ (nare): practice; practising; experience,慣れ
