Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
38630,不溶,不溶,ふよう,
39617,生半可,なまはんか,なまはんか,
39617,移り気,移り気,うつりぎ,
39617,耳寄り,耳より,みみより,
39617,ノーブル,ノーブル,のーぶる,
39617,リアリスティック,リアリスティック,りありすてぃっく,
39617,小粋,小粋,こいき,
39617,冷然,冷然,れいぜん,
39617,エンドレス,エンドレス,えんどれす,
39617,目深,目深,まぶか,
39617,飄々,,,
39617,軽め,,,
40698,るんるん,,,
40698,諤々,ガクガク,がくがく,
40698,洋々,洋々,ようよう,
40698,ストイック,ストイック,すといっく,
40698,ノスタルジック,ノスタルジック,,
40698,奇天烈,キテレツ,きてれつ,
40698,深め,,,
40698,すかすか,スカスカ,すかすか,
40698,甘やか,,,
40698,黙然,黙然,もくぜん,
40698,メタリック,メタリック,,
40698,激辛,,,
40698,クラシカル,クラシカル,くらしかる,
40698,人で無し,人でなし,ひとでなし,
40698,インフォーマル,インフォーマル,いんふぉーまる,
40698,因業,因業,いんごう,
40698,本好き,,,
40698,堅調,堅調,けんちょう,
41842,轟々,ごうごう,ごうごう,
41842,プリミティブ,プリミティブ,ぷりみてぃぶ,
41842,めろめろ,メロメロ,めろめろ,
41842,幼気,いたいけ,いたいけ,
41842,けったい,けったい,けったい,
41842,茫漠,,,
41842,スリリング,スリリング,すりりんぐ,
41842,迂遠,＊,うえん,
41842,のろま,のろま,のろま,
41842,がさつ,がさつ,がさつ,
41842,ざんばら,ざんばら,ざんばら,
41842,坦々,坦々,たんたん,
41842,蒼然,蒼然,そうぜん,
41842,壮烈,壮烈,そうれつ,
41842,濛々,濛々,もうもう,
41842,胡乱,胡乱,うろん,
41842,片々,片々,へんぺん,
43022,金ぴか,金ぴか,きんぴか,
43022,茫洋,ぼうよう,ぼうよう,
43022,木目細やか,,,
43022,明け透け,あけすけ,あけすけ,
43022,言葉少な,,,
43022,クリーミー,クリーミー,,
43022,ボーイッシュ,ボーイッシュ,ぼーいっしゅ,
43022,ぺたんこ,,,
43022,ハンディー,ハンディー,はんでぃー,
43022,明けっ広げ,あけっぴろげ,あけっぴろげ,
43022,線的,,,
43022,雅やか,,,
43022,微少,微少,びしょう,
43022,紛々,紛々,ふんぷん,
43022,ファジー,ファジー,ふぁじー,
43022,横風,横風,おうふう,
43022,楚々,楚々,そそ,
43022,乗り乗り,,,
43022,鉛直,鉛直,えんちょく,
43022,浩然,浩然,こうぜん,
44338,諾々,だくだく,だくだく,
44338,サディスティック,サディスティック,さでぃすてぃっく,
44338,隠然,隠然,いんぜん,
44338,ポリティカル,ポリティカル,ぽりてぃかる,
44338,スキャンダラス,スキャンダラス,,
44338,凝然,,,
44338,凛々,＊,りんりん,
44338,根暗,ネクラ,ねくら,
44338,嫣然,＊,えんぜん,
44338,コミカル,コミカル,こみかる,
44338,破れかぶれ,やぶれかぶれ,やぶれかぶれ,
44338,学的,学的,がくてき,
45806,へっちゃら,へっちゃら,へっちゃら,
45806,はちゃめちゃ,ハチャメチャ,はちゃめちゃ,
45806,誇らか,誇らか,ほこらか,
45806,諄々,じゅんじゅん,じゅんじゅん,
45806,阿漕,阿漕,あこぎ,
45806,ほやほや,ホヤホヤ,ほやほや,
45806,プラトニック,プラトニック,,
45806,聞えよがし,,,
45806,行け行け,,,
45806,凡々,ボンボン,ぼんぼん,
45806,びんびん,,,
45806,率然,率然,そつぜん,
45806,模糊,模糊,もこ,
45806,クリティカル,クリティカル,くりてぃかる,
45806,不束,ふつつか,ふつつか,
45806,エゴイスティック,エゴイスティック,えごいすてぃっく,
45806,とんま,トンマ,とんま,
45806,放漫,放漫,ほうまん,
45806,セキュア,セキュア,,
45806,爛々,ランラン,らんらん,
47471,懶惰,らんだ,らんだ,
47471,トレンディー,トレンディー,,
47471,ビジネスライク,ビジネスライク,びじねすらいく,
47471,内向き,,,
47471,変梃りん,,,
47471,アグレッシブ,アグレッシブ,,
47471,澎湃,ほうはい,ほうはい,
47471,卑近,卑近,ひきん,
47471,繚乱,＊,りょうらん,
47471,スレンダー,スレンダー,すれんだー,
47471,へべれけ,へべれけ,へべれけ,
47471,甘辛,甘辛,あまから,
47471,赫々,赫々,かっかく,
47471,おっちょこちょい,おっちょこちょい,おっちょこちょい,
47471,小幅,小幅,こはば,
47471,フェミニン,フェミニン,,
47471,バイタル,バイタル,ばいたる,
47471,トラディショナル,トラディショナル,とらでぃしょなる,
49232,安閑,安閑,あんかん,
49232,藹々,＊,あいあい,
49232,灼か,あらたか,あらたか,
49232,ビューティフル,ビューティフル,びゅーてぃふる,
49232,平らか,平らか,たいらか,
49232,遅め,,,
49232,頻々,頻々,ひんぴん,
49232,狂的,狂的,きょうてき,
49232,ちんけ,,,
49232,ハートフル,ハートフル,,
49232,陰々,陰々,いんいん,
49232,従容,従容,しょうよう,
49232,悠揚,悠揚,ゆうよう,
49232,炯々,炯々,けいけい,
49232,間遠,間遠,まどお,
49232,メカニカル,メカニカル,めかにかる,
49232,ぼんくら,ぼんくら,ぼんくら,
49232,玲瓏,玲瓏,れいろう,
51227,自若,自若,じじゃく,
51227,スパイシー,スパイシー,,
51227,峨々,峨々,がが,
51227,ブロークン,ブロークン,ぶろーくん,
51227,恋々,恋々,れんれん,
51227,恬淡,てんたん,てんたん,
51227,訥々,とつとつ,とつとつ,
51227,綽々,しゃくしゃく,しゃくしゃく,
51227,アンビバレント,アンビバレント,,
51227,端然,端然,たんぜん,
51227,安気,安気,あんき,
51227,しゃかりき,しゃかりき,しゃかりき,
51227,アブノーマル,アブノーマル,あぶのーまる,
51227,広漠,広漠,こうばく,
51227,濃艶,濃艶,のうえん,
51227,首っ丈,首ったけ,くびったけ,
51227,飄然,,,
51227,真率,真率,しんそつ,
51227,明るめ,,,
51227,かちんかちん,,,
51227,アクロバチック,アクロバチック,,
51227,截然,截然,せつぜん,
51227,小体,固定,こてい,
53646,ぶかぶか,ブカブカ,ぶかぶか,
53646,速め,早め,はやめ,
53646,ファンタスティック,ファンタスティック,ふぁんたすてぃっく,
53646,炎々,炎々,えんえん,
53646,兢々,＊,きょうきょう,
53646,しとど,しとど,しとど,
53646,コケティッシュ,コケティッシュ,こけてぃっしゅ,
53646,限無し,限りなし,きりなし,
53646,上がったり,上がったり,あがったり,
53646,ダーティー,ダーティー,だーてぃー,
53646,物臭,ものぐさ,ものぐさ,
53646,センシティブ,センシティブ,せんしてぃぶ,
53646,清ら,,,
53646,ロンリー,ロンリー,,
53646,粛然,粛然,しゅくぜん,
53646,忽,＊,こつ,
53646,コンベンショナル,コンベンショナル,こんべんしょなる,
53646,しめやか,しめやか,しめやか,
53646,パラドキシカル,パラドキシカル,,
53646,凛然,凛然,りんぜん,
53646,鯔背,いなせ,いなせ,
53646,秘めやか,,,
53646,蓮っ葉,,,
53646,ミスティック,ミスティック,みすてぃっく,
53646,逆しま,さかしま,さかしま,
53646,犬嫌い,,,
56342,ファンタジック,ファンタジック,ふぁんたじっく,
56342,囂々,ごうごう,ごうごう,
56342,尾籠,ビロウ,びろう,
56342,暗然,暗然,あんぜん,
56342,気短,気短,きみじか,
56342,ナーバス,ナーバス,なーばす,
56342,プラグマティック,プラグマティック,ぷらぐまてぃっく,
56342,あえか,あえか,あえか,
56342,寥々,りょうりょう,りょうりょう,
56342,ビビッド,ビビッド,びびっど,
56342,矍鑠,,,
56342,フルーティー,フルーティー,,
56342,罪作り,,,
56342,勃然,ぼつぜん,ぼつぜん,
56342,陸続,,,
56342,全的,全的,ぜんてき,
56342,碌々,,,
56342,莞爾,莞爾,かんじ,
56342,悪戯好き,,,
56342,索莫,索莫,さくばく,
56342,駘蕩,＊,たいとう,
56342,互い違い,互い違い,たがいちがい,
56342,馥郁,,,
56342,画然,画然,かくぜん,
56342,トリッキー,トリッキー,とりっきー,
56342,等し並み,ひとしなみ,ひとしなみ,
56342,ぐしょぐしょ,,,
56342,暗鬱,暗鬱,あんうつ,
56342,トラッド,トラッド,とらっど,
56342,奄々,奄々,えんえん,
56342,ぽっこり,,,
56342,物柔らか,物柔らか,ものやわらか,
56342,轟然,轟然,ごうぜん,
56342,澹,たん,たん,
59421,亭々,亭々,ていてい,
59421,大甘,大甘,おおあま,
59421,アンラッキー,アンラッキー,あんらっきー,
59421,半可通,半可通,はんかつう,
59421,アンフェア,アンフェア,あんふぇあ,
59421,リスキー,リスキー,,
59421,ひたぶる,一向,ひたぶる,
59421,蒼々,蒼々,そうそう,
59421,広やか,,,
59421,人嫌い,人嫌い,ひとぎらい,
59421,メタフィジカル,メタフィジカル,めたふぃじかる,
59421,オカルティック,オカルティック,,
59421,烈々,烈々,れつれつ,
59421,寂然,寂然,じゃくねん,
59421,蹌踉,＊,そうろう,
59421,メロー,メロー,めろー,
59421,剽悍,ひょうかん,ひょうかん,
59421,忍びやか,,,
59421,確然,確然,かくぜん,
59421,茫乎,＊,ぼうこ,
59421,ぴり辛,,,
59421,ドレッシー,ドレッシー,どれっしー,
59421,駸々,＊,しんしん,
59421,高階,高階,こうかい,
63094,軽易,軽易,けいい,
63094,柔らかめ,,,
63094,サイエンティフィック,サイエンティフィック,さいえんてぃふぃっく,
63094,ジャーナリスティック,ジャーナリスティック,じゃーなりすてぃっく,
63094,軟調,軟調,なんちょう,
63094,婀娜,あだ,あだ,
63094,スタイリッシュ,スタイリッシュ,すたいりっしゅ,
63094,けんもほろろ,けんもほろろ,けんもほろろ,
63094,内福,内福,ないふく,
63094,嵩高,,,
63094,怪々,怪々,かいかい,
63094,荒め,アラメ,あらめ,
63094,だぼだぼ,,,
63094,犀利,犀利,さいり,
63094,顕然,顕然,けんぜん,
63094,生半,なまなか,なまなか,
63094,凛冽,りんれつ,りんれつ,
63094,廓然,廓然,かくぜん,
63094,暗め,暗め,くらめ,
63094,鮮鋭,鮮鋭,せんえい,
63094,背高,背高,せいたか,
67760,おしゃま,おしゃま,おしゃま,
67760,ロジカル,ロジカル,ろじかる,
67760,プラクティカル,プラクティカル,ぷらくてぃかる,
67760,雑駁,＊,ざっぱく,
67760,アルカイック,アルカイック,あるかいっく,
67760,惻々,＊,そくそく,
67760,滅々,,,
67760,ごった,ごった,ごった,
67760,ラグジュアリー,ラグジュアリー,らぐじゅありー,
67760,ヒロイック,ヒロイック,ひろいっく,
67760,マージナル,マージナル,まーじなる,
67760,かちんこちん,,,
67760,妙ちきりん,,,
67760,婉然,＊,えんぜん,
67760,鬱然,鬱然,うつぜん,
67760,イノセンス,イノセンス,いのせんす,
67760,浅め,,,
67760,奇々,奇々,きき,
67760,情的,,,
67760,燦,＊,さん,
67760,オリエンティッド,オリエンティッド,,
67760,燦爛,燦爛,さんらん,
67760,緩め,緩め,ゆるめ,
67760,ファンクショナル,ファンクショナル,,
67760,清朗,清朗,せいろう,
67760,サイケ,サイケ,さいけ,
67760,しっちゃかめっちゃか,,,
67760,メランコリック,メランコリック,めらんこりっく,
67760,周密,周密,しゅうみつ,
73941,デモクラティック,デモクラティック,でもくらてぃっく,
73941,鬱勃,鬱勃,うつぼつ,
73941,宛然,宛然,えんぜん,
73941,モニュメンタル,モニュメンタル,,
73941,可用,可用,かよう,
73941,マジカル,マジカル,,
73941,遠め,遠目,とおめ,
73941,醇乎,醇乎,じゅんこ,
73941,芬々,＊,ふんぷん,
73941,魔的,魔的,まてき,
73941,蕩々,とうとう,とうとう,
73941,漫々,漫々,まんまん,
73941,豁然,,,
73941,スモーキー,スモーキー,,
73941,悔し紛れ,くやしまぎれ,くやしまぎれ,
73941,慨然,＊,がいぜん,
73941,手柔らか,,,
73941,派手め,,,
73941,アンビシャス,アンビシャス,あんびしゃす,
73941,ファミリア,ファミリア,ふぁみりあ,
73941,埴猪口,ヘナチョコ,へなちょこ,
73941,ムーディー,ムーディー,,
73941,アンハッピー,アンハッピー,,
73941,デコラティブ,デコラティブ,でこらてぃぶ,
73941,索然,索然,さくぜん,
73941,怏々,＊,おうおう,
73941,うはうは,,,
73941,深沈,深沈,しんちん,
73941,肉太,肉ぶと,にくぶと,
73941,憫然,,,
73941,イデオロギッシュ,イデオロギッシュ,,
73941,まめやか,,,
73941,厳め,,,
73941,沛然,はいぜん,はいぜん,
73941,マニッシュ,マニッシュ,まにっしゅ,
73941,ぐじゃぐじゃ,,,
73941,気随,＊,きずい,
73941,生直,,,
73941,纏綿,てんめん,てんめん,
73941,ペシミスティック,ペシミスティック,ぺしみすてぃっく,
73941,寡少,寡少,かしょう,
73941,細長,細長,ほそなが,
73941,漠々,漠々,ばくばく,
82574,パセティック,パセティック,ぱせてぃっく,
82574,速急,速急,そっきゅう,
82574,コンテンポラリー,コンテンポラリー,こんてんぽらりー,
82574,快絶,,,
82574,強暴,強暴,きょうぼう,
82574,高大,高大,こうだい,
82574,凄然,凄然,せいぜん,
82574,多繁,,,
82574,紛然,紛然,ふんぜん,
82574,侠,侠,きゃん,
82574,滂沱,滂沱,ぼうだ,
82574,敦厚,敦厚,とんこう,
82574,懇到,懇到,こんとう,
82574,インテレクチュアル,インテレクチュアル,,
82574,円か,円か,まどか,
82574,フィクショナル,フィクショナル,,
82574,凄烈,凄烈,せいれつ,
82574,コンシステント,コンシステント,,
82574,恒等,恒等,こうとう,
82574,シュア,シュア,しゅあ,
82574,広闊,広闊,こうかつ,
82574,皚々,皚々,がいがい,
82574,アクチュアル,アクチュアル,あくちゅある,
82574,油然,油然,ゆうぜん,
82574,ソウルフル,ソウルフル,そうるふる,
82574,こてんこてん,,,
82574,層々,層々,そうそう,
82574,陸離,,,
82574,淋漓,淋漓,りんり,
82574,蕭条,＊,しょうじょう,
82574,ケ钃セラ钃セラ,ケ・セラ・セラ,,
82574,ニヒリスティック,ニヒリスティック,,
82574,ブリリアント,ブリリアント,ぶりりあんと,
82574,匂やか,,,
82574,負け嫌い,,,
82574,靉靆,＊,あいたい,
82574,スノビッシュ,スノビッシュ,,
82574,ダウナー,,,
82574,ちょぼちょぼ,ちょぼちょぼ,ちょぼちょぼ,
82574,グランジ,グランジ,,
82574,懇篤,,,
82574,忙々,ぼうぼう,ぼうぼう,
82574,翻然,翻然,ほんぜん,
82574,御冠,おかんむり,おかんむり,
82574,スローモー,スローモー,すろーもー,
