No.,Expression,Reading,Meaning
1188,負ける,まける,"to lose (a game) (v.i.), to be defeated"
1189,指輪,ゆびわ,(finger) ring
1190,田舎,いなか,"rural, countryside"
1191,見つける,みつける,"to discover, to find (v.t.)"
1192,高校生,こうこうせい,high school student
1193,講義,こうぎ,a lecture
1194,そんなに,そんなに,"so much, like that"
1195,昼休み,ひるやすみ,"lunch break, noon recess"
1196,忘れ物,わすれもの,"lost article, something forgotten"
1197,下りる,おりる,"to get down, to go; come down"
1198,腕,うで,arm (in reference to body)
1199,訳,わけ,reason; explanation
1200,承知,しょうちする,"consent, acceptance"
1201,日記,にっき,"diary, journal"
1202,高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school
1203,似る,にる,"to resemble, to be similar"
1204,～おわる,～おわる,to finish doing ~
1205,暖房,だんぼう,heating
1206,留守,るす,absence; not at home
1207,割合,わりあい,"rate, ratio, percentage"
1208,寺,てら,Buddhist temple
1209,慣れる,なれる,to grow accustomed to
1210,普通,ふつう,common; usual
1211,手伝う,てつだう,to help
1212,なるほど,なるほど,I see; I now understand
1213,くださる,くださる,"(hon.) to give, to confer"
1214,息子,むすこ,(humble) son
1215,お子さん,おこさん,(someone else's) child (polite)
1216,会場,かいじょう,"venue, meeting place"
1217,笑う,わらう,"to laugh, to smile"
1218,運ぶ,はこぶ,"to transport, to carry"
1219,文学,ぶんがく,literature
1220,光,ひかり,light
1221,お見舞い,おみまい,"calling on someone who is ill, visit"
1222,席,せき,a seat
1223,～様,～さま,"Mr., Mrs., Ms."
1224,ご存じ,ごぞんじ,"knowing, acquaintance"
1225,下る,さがる,"to descend, to drop, to fall"
1226,字,じ,letter; character
1227,アジア,アジア,Asia
1228,褒める,ほめる,to praise; to say nice things
1229,空く,すく,"to be empty (in reference to people), to be less crowded"
1230,あ,あ,Ah
1231,最も,もっとも,most
1232,合う,あう,"to fit, to match"
1233,～代,～だい,~ age; period
1234,最後,さいご,"last, end"
1235,値段,ねだん,price
1236,退院,たいいんする,leaving hospital
1237,展覧会,てんらんかい,exhibition
1238,久しぶり,ひさしぶり,it has been a long time; for the first time in a long time
1239,カーテン,カーテン,curtain
1240,汽車,きしゃ,train (steam)
1241,遅れる,おくれる,to (be) become late
1242,見つかる,みつかる,"to be found (v.i.), to be discovered"
1243,召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
1244,太る,ふとる,to gain weight
1245,注射,ちゅうしゃ,injection
1246,様,よう,"way, manner, kind"
1247,～おき,～おき,after every ~
1248,最初,さいしょ,"beginning, first"
1249,御～,ご～,honorable ~
1250,安心,あんしん,"peace of mind, relief"
1251,直る,なおる,to be fixed
1252,集める,あつめる,"to collect, to gather (v.t.), to assemble"
1253,直す,なおす,to correct (v.t.); to fix
1254,続く,つづく,to be continued
1255,先輩,せんぱい,senior members of a group
1256,約束,やくそく,"arrangement, appointment, promise"
1257,世話,せわする,looking after; to look after
1258,近所,きんじょ,neighborhood
1259,将来,しょうらい,(in the) future; prospects
1260,億,おく,hundred million
1261,数学,すうがく,mathematics
1262,文化,ぶんか,culture
1263,払う,はらう,to pay
1264,習慣,しゅうかん,custom (in reference to culture)
1265,焼ける,やける,"to burn, to be roasted"
1266,君,きみ,you (informal for men)
1267,冷える,ひえる,"to grow cold, to cool down"
1268,点く,つく,"to be started, to be switched on"
1269,この間,このあいだ,"the other day, recently"
1270,かっこう,格好,"appearance, manner, shape, form, posture"
1271,かまう,,"to mind, to care about, to be concerned about"
1272,続ける,つづける,"to continue, to keep up"
1273,落す,おとす,"to drop, to lose"
1274,明日,あす,tomorrow
1275,出発,しゅっぱつする,departure
1276,拝見,はいけんする,"(humble) (polite) seeing, look at"
1277,割れる,われる,to break
1278,背中,せなか,back (of body)
1279,新聞社,しんぶんしゃ,newspaper company
1280,いじめる,いじめる,"to bully, to torment"
1281,回る、回す,まわる、まわす,"to go around, to revolve"
1282,～君,～くん,"Mr. (junior) ~, master ~"
1283,おっしゃる,おっしゃる,-- honorific expression for いう --
1284,眠い,ねむい,"sleepy, drowsy"
1285,濡れる,ぬれる,to get wet
1286,倒れる,たおれる,"to collapse, to break down"
1287,スーパー (マーケット),スーパー (マーケット),supermarket
1288,アクセサリー,アクセサリー,accessory
1289,考える,かんがえる,to think (about); to consider
1290,向かう,むかう,"to face, to go towards"
1291,自由,じゆう,freedom
1292,仕方,しかた,way (of doing something)
1293,首,くび,neck
1294,程,ほど,"degree, extent"
1295,代わり,かわり,"substitute, replacement"
1296,失敗,しっぱい,"failure, mistake"
1297,工業,こうぎょう,(manufacturing) industry
1298,移る,うつる,to move (from a house); to transfer (from a department); to shift
1299,スーツケース,スーツケース,suitcase
1300,ひげ,ひげ,beard
1301,研究室,けんきゅうしつ,the professor's office; laboratory
1302,工場,こうじょう,factory
1303,紹介,しょうかい,an introduction
1304,けれど; けれども,けれど; けれども,"but, although"
1305,舟,ふね,"ship, boat"
1306,動く,うごく,to move
1307,～(に) ついて,～(に) ついて,"about, concerning"
1308,コンサート,コンサート,concert
1309,虫,むし,insect
1310,優しい,やさしい,"kind (person), gentle (person), easy (problem)"
1311,コンピュータ; コンピューター,コンピュータ; コンピューター,computer
1312,植える,うえる,to plant
1313,両方,りょうほう,"both sides, both parties"
1314,汚れる,よごれる,to become dirty
1315,水泳,すいえい,swimming
1316,経験,けいけんする,experience
1317,勝つ,かつ,to win
1318,砂,すな,sand
1319,警察,けいさつ,police; police station
1320,取り替える,とりかえる,"to exchange, to replace"
1321,急ぐ,いそぐ,"to hurry, to be in a hurry, to rush"
1322,簡単,かんたん,simple
1323,参る,まいる,humble expression for 行く and 来る
1324,全然,ぜんぜん,"not at all; wholly, entirely"
1325,特別,とくべつ,special
1326,復習,ふくしゅう,"review (of lessons), revision"
1327,間に合う,まにあう,to be in time for
1328,役に立つ,やくにたつ,"to be helpful, to be useful"
1329,もうすぐ,もうすぐ,very soon; in a few moments; days
1330,真中,まんなか,"middle, center"
1331,戻る,もどる,to return (v.i.); to come back
1332,研究,けんきゅう,"study, research, investigation"
1333,ケーキ,ケーキ,cake
1334,草,くさ,grass
1335,込む,こむ,to be crowded
1336,この頃,このごろ,"these days, nowadays"
1337,訪ねる,たずねる,to visit
1338,下げる,さげる,to lower (v.t.); to hang
1339,花見,はなみ,cherry-blossom viewing
1340,途中,とちゅう,"on the way, midway"
1341,入院,にゅういんする,hospitalization
1342,乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)"
1343,別れる,わかれる,"to part from, to separate"
1344,～町,～ちょう,the town of ~
1345,安全,あんぜん,"safety, security"
1346,看護婦,かんごふ,(female) nurse
1347,見物,けんぶつ,sightseeing
1348,相談,そうだんする,consultation
1349,ガソリンスタンド,ガソリンスタンド,"gas station, service station"
1350,テニス,テニス,tennis
1351,眠る,ねむる,to sleep
1352,上がる,あがる,"to rise, to go up"
1353,翻訳,ほんやく,translation
1354,食事,しょくじする,meal
1355,おかげ,お陰,thanks or owing to
1356,娘,むすめ,daughter (humble)
1357,湯,ゆ,hot water
1358,競争,きょうそう,"competition, contest"
1359,会議,かいぎ,business meeting; conference
1360,湖,みずうみ,lake
1361,集まる,あつまる,"to gather (v.i.), to collect"
1362,～にくい,～にくい,difficult to do ~
1363,生活,せいかつする,"living, life; to live"
1364,糸,いと,thread
1365,関係,かんけい,"relation(ship), connection"
1366,ピアノ,ピアノ,piano
1367,～目,～め,"number ~ sequence, ~nd; ~th"
1368,番組,ばんぐみ,broadcast program
1369,急,きゅう,"urgent, sudden; steep"
1370,棚,たな,"shelves, rack"
1371,木綿,もめん,cotton
1372,輸出,ゆしゅつする,export
1373,タイプ,タイプ,"type, style"
1374,すり,すり,pickpocket
1375,うれしい,嬉しい,to be happy; to be glad
1376,アルコール,アルコール,alcohol
1377,ソフト,ソフト,soft; soft hat; software
1378,神社,じんじゃ,Shinto shrine
1379,大分,だいぶ,"fairly well, to a large extent, considerably, pretty much"
1380,楽しみ,たのしみ,"pleasure, joy"
1381,趣味,しゅみ,hobby; pastime
1382,電報,でんぽう,telegram
1383,家内,かない,(one's own) wife
1384,指,ゆび,finger
1385,これから,これから,"from now on, after this"
1386,たまに,たまに,occasionally
1387,社会,しゃかい,society
1388,踏む,ふむ,"to step on, to tread on"
1389,～区,～く,"~ district, ~ ward, ~ borough"
1390,すっと,すっと,"straight, quickly"
1391,盗む,ぬすむ,to steal; to rob
1392,大抵,たいてい,"generally, usually"
1393,とうとう,とうとう,"finally, at last"
1394,ガソリン,ガソリン,"gasoline, petrol"
1395,鳴る,なる,"to sound, to ring (v.i.)"
1396,しっかり,しっかり,"firmly, steady"
1397,生きる,いきる,to live
1398,苦い,にがい,bitter
1399,沸く,わく,"to boil, to grow hot"
1400,意見,いけん,"opinion, view, idea"
1401,やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely"
1402,漫画,まんが,"comic (book), cartoon"
1403,ステレオ,ステレオ,stereo
1404,医学,いがく,medical science
1405,テキスト,テキスト,text; text book
1406,～月,～つき,month
1407,折る,おる,"to snap, to break; to bend"
1408,～会,～かい,~ meeting
1409,うかがう,うかがう,to ask
1410,聞こえる,きこえる,"to be heard, to be audible"
1411,僕,ぼく,I (used by men towards those of equal or lower status)
1412,必ず,かならず,"surely, certainly"
1413,壊す,こわす,"to break, to break down"
1414,怒る,おこる,to get angry; to scold angrily
1415,床屋,とこや,barber's (shop)
1416,オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
1417,運動,うんどうする,exercise
1418,止む,やむ,"to cease, to stop"
1419,もし,もし,if
1420,表,おもて,surface; front; outside
1421,大学生,だいがくせい,"college student, university student"
1422,運転手,うんてんしゅ,driver (by occupation)
1423,予習,よしゅう,preparation of lessons (for class)
1424,心配,しんぱいする,"worry, concern"
1425,別,べつ,"distinction, different"
1426,非常に,ひじょうに,extremely; very
1427,お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --
1428,柔らかい,やわらかい,"soft (in reference to texture), tender"
1429,拾う,ひろう,"to pick up (something), to find"
1430,～ございます,～ございます,"to be (polite), to exist"
1431,気,き,"spirit, mood"
1432,比べる,くらべる,to compare
1433,ほとんど,ほとんど,"mostly, almost"
1434,つもり,つもり,"intention, plan"
1435,郊外,こうがい,"suburb, outskirts"
1436,だめ,だめ,"useless, no good, hopeless"
1437,売り場,うりば,place where things are sold
1438,正月,しょうがつ,"New Year, New Year's Day"
1439,規則,きそく,"rule, regulation"
1440,うん,うん,"yes (informal), all right (ok)"
1441,発音,はつおん,pronunciation
1442,焼く,やく,"to bake, to grill"
1443,屋上,おくじょう,rooftop
1444,失礼,しつれい,"discourtesy, impoliteness; Excuse me"
1445,ごみ,ごみ,"trash, garbage"
1446,アフリカ,アフリカ,Africa
1447,点,てん,"mark, score, grade; point, dot"
1448,一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort"
1449,今度,こんど,"now, this time, near future, one of these days, next time"
1450,機会,きかい,"chance, opportunity"
1451,建てる,たてる,to build
1452,複雑,ふくざつ,"complexity, complication"
1453,彼,かれ,"he, boyfriend"
1454,いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --"
1455,布団,ふとん,futon
1456,大事,だいじ,"important, valuable, serious matter"
1457,贈り物,おくりもの,a gift; a present
1458,泥棒,どろぼう,thief; burglar
1459,～製,～せい,made in ~
1460,注意,ちゅうい,"caution, attention"
1461,台風,たいふう,typhoon
1462,日,ひ,"sun, sunshine, day"
1463,～軒,～けん,counter for houses
1464,そう,そう,"really, (is that) so; yes, right"
1465,通る,とおる,"to pass (by), to go through"
1466,過ぎる,すぎる,"to exceed, to go beyond"
1467,レポート; リポート,レポート; リポート,report
1468,葉,は,leaf
1469,必要,ひつよう,necessary
1470,課長,かちょう,section manager
1471,地震,じしん,earthquake
1472,すると,すると,"and, then"
1473,止める,やめる,"to end, to stop"
1474,ガラス,ガラス,"glass, pane"
1475,～学部,～がくぶ,department of a university
1476,厳しい,きびしい,hard; rigorous; strict
1477,エスカレーター,エスカレーター,escalator
1478,人口,じんこう,population
1479,月,つき,moon
1480,絹,きぬ,silk
1481,ちっとも,ちっとも,not at all (neg. verb)
1482,深い,ふかい,"deep, profound"
1483,壊れる,こわれる,"to be broken, to break"
1484,揺れる,ゆれる,"to shake, to sway"
1485,落る,おちる,"to fall, to drop"
1486,できるだけ,できるだけ,"if at all possible, as much as possible"
1487,悲しい,かなしい,"sad, sorrowful"
1488,中学校,ちゅうがっこう,junior high school pupil
1489,ガス,ガス,gas
1490,祈る,いのる,to pray; to wish
1491,盛ん,さかん,"prosperous, active, thriving"
1492,アルバイト,アルバイト,part-time job
1493,起こす,おこす,to wake (someone) up
1494,致す,いたす,-- extra-modest expression for する --
1495,噛む,かむ,"to bite, to chew"
1496,赤ちゃん,あかちゃん,"baby, infant"
1497,浅い,あさい,"shallow, superficial"
1498,うそ,嘘,lie
1499,小説,しょうせつ,novel
1500,親,おや,a parent
1501,それに,それに,moreover; besides
1502,西洋,せいよう,"the West, Western countries"
1503,思う,おもう,"to think, to feel"
1504,パート (タイム),パート (タイム),part time (esp. female part time employees)
1505,時代,じだい,"age, period, epoch, era"
1506,申し上げる,もうしあげる,"(humble)to say, to tell"
1507,～式,～しき,~ ceremony; ~ style
1508,出席,しゅっせきする,attendance
1509,～家,～か,person who is specialized in ~
1510,迎える,むかえる,to welcome; to meet; to greet
1511,触る,さわる,"to touch, to feel"
1512,建て,～だて,"~ storied, separate housing"
1513,社長,しゃちょう,president of a company
1514,動物園,どうぶつえん,zoo
1515,捕まえる,つかまえる,"to catch, to arrest"
1516,季節,きせつ,season (in reference to weather)
1517,寄る,よる,to stop by
1518,決まる,きまる,to be set; fixed (v.i.)
1519,開く,ひらく,to open; to hold (an event)
1520,逃げる,にげる,"to escape, to run away"
1521,だから,だから,so; therefore
1522,残念,ざんねん,regret; regrettable
1523,畳,たたみ,tatami mat (Japanese straw mat)
1524,丁寧,ていねい,"polite, courteous, careful"
1525,地理,ちり,geography
1526,さっき,さっき,a little while ago
1527,怖い,こわい,"scary, frightening"
1528,包む,つつむ,"to wrap, to cover"
1529,なるべく,なるべく,"if possible, as much as possible"
1530,無理,むり,"unreasonable, impossible"
1531,サンドイッチ,サンドイッチ,sandwich
1532,会議室,かいぎしつ,conference room
1533,品物,しなもの,goods
1534,人形,にんぎょう,"doll, figure"
1535,利用,りよう,"use, utilization"
1536,飾る,かざる,"to decorate, to adorn"
1537,止める,とめる,to stop (something)
1538,恥ずかしい,はずかしい,"ashamed, embarrassed"
1539,いくら～ても,いくら～ても,however much one may ~
1540,用事,ようじ,business to take care of; tasks; errands
1541,ビル,ビル,(abbr.) building
1542,けんかする,けんかする,quarrel
1543,頑張る,がんばる,"to try one's best, to try hard, to persist"
1544,投げる,なげる,"to pitch, to cast away"
1545,故障,こしょうする,breakdown
1546,力,ちから,"strength, power"
1547,受ける,うける,"to take (an examination, interview, etc.); to receive"
1548,気分,きぶん,"feeling, mood"
1549,間違える,まちがえる,to make a mistake
1550,そんな,そんな,"such, like that, that sort of"
1551,星,ほし,star
1552,場合,ばあい,"case, situation"
1553,やっと,やっと,"at last, finally"
1554,足りる,たりる,to be sufficient; to be enough
1555,行う,おこなう,to carry out; to conduct (typically used in written language)
1556,ぶどう,ぶどう,grapes
1557,無くなる,なくなる,"to disappear, to get lost"
1558,準備,じゅんびする,prepare
1559,世界,せかい,world
1560,住所,じゅうしょ,address; place of residence
1561,再来月,さらいげつ,the month after next
1562,林,はやし,"woods, forest"
1563,倍,ばい,double
1564,痩せる,やせる,to lose weight
1565,線,せん,"line, wire"
1566,戦争,せんそう,war
1567,決める,きめる,to decide (v.t.)
1568,調べる,しらべる,to check; to look up; to inquire; to search
1569,寝坊,ねぼう,sleeping in late
1570,パパ,パパ,"papa, daddy"
1571,光る,ひかる,"to shine, to glitter"
1572,夫,おっと,husband
1573,雲,くも,cloud
1574,坂,さか,"slope, hill"
1575,～(て) しまう,～(て) しまう,to end up ~
1576,飛行場,ひこうじょう,airport
1577,柔道,じゅうどう,judo
1578,決して,けっして,never
1579,事務所,じむしょ,office
1580,連絡,れんらく,"communication, contact, connection"
1581,小学校,しょうがっこう,elementary school
1582,客,きゃく,"guest, customer"
1583,昔,むかし,old days; past
1584,美しい,うつくしい,"beautiful, lovely"
1585,捨てる,すてる,"throw away (trash), dump, discard"
1586,なさる,なさる,-- honorific expression for する --
1587,事,こと,"thing(s), matter(s), fact"
1588,どんどん,どんどん,quickly and steadily; at a rapid pace
1589,試合,しあい,"match, game, competition"
1590,適当,てきとう,"fitness, suitability"
1591,素晴らしい,すばらしい,wonderful; terrific
1592,美術館,びじゅつかん,"art gallery, art museum"
1593,文法,ぶんぽう,grammar
1594,終わり,おわり,end
1595,壁,かべ,wall
1596,一度,いちど,"once, one time"
1597,お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
1598,親切,しんせつ,kindness
1599,知らせる,しらせる,to notify
1600,歯医者,はいしゃ,dentist
1601,熱心,ねっしん,enthusiasm
1602,始める,はじめる,"to start, to begin"
1603,もらう,もらう,to receive
1604,泣く,なく,to cry
1605,治る,なおる,to get better; to recover from illness (v.i.)
1606,熱,ねつ,"fever, temperature"
1607,お祭り,おまつり,festival
1608,水道,すいどう,"water service, water line"
1609,匂い,におい,"odor, smell"
1610,ベル,ベル,bell
1611,赤ん坊,あかんぼう,baby
1612,おかしい,おかしい,strange; odd; funny
1613,事故,じこ,accident
1614,変,へん,"strange, odd"
1615,辞典,じてん,"encyclopedia, reference book"
1616,残る,のこる,"to remain (v.i.), to be left"
1617,立てる,たてる,"to stand (something) up, to erect (something)"
1618,くれる,くれる,"to give, to do for"
1619,～員,～いん,member of ~
1620,原因,げんいん,"cause, origin, source"
1621,驚く,おどろく,"to be surprised, to be astonished"
1622,いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --
1623,祖母,そぼ,grandmother
1624,場所,ばしょ,"place, location"
1625,答,こたえ,"answer, response"
1626,もちろん,もちろん,"certainly, of course"
1627,漬ける,つける,"to soak, to moisten, to pickle"
1628,受付,うけつけ,reception(ist) desk
1629,内,うち,"within, inside"
1630,スクリーン,スクリーン,screen
1631,増える,ふえる,"to increase, to multiply"
1632,または,または,"or, otherwise"
1633,けがする,けがする,"injury (to animate object), hurt"
1634,以下,いか,"less than, below"
1635,選ぶ,えらぶ,to choose; to select
1636,～ばかり,～ばかり,"just did ~, only"
1637,心,こころ,"heart, mind"
1638,～だす,～だす,to start doing ~
1639,サラダ,サラダ,salad
1640,届ける,とどける,to deliver (v.t.)
1641,あいさつする,挨拶,greet(ing)
1642,景色,けしき,"scenery, landscape"
1643,確か,たしか,"if I remember correctly; certain, definite"
1644,ステーキ,ステーキ,steak
1645,食料品,しょくりょうひん,"foodstuff, groceries"
1646,森,もり,forest
1647,以内,いない,"within, less (no more) than"
1648,予定,よてい,"plans, arrangement, schedule"
1649,オーバー,オーバー,"overcoat; over, exceeding, exaggeration"
1650,乾く,かわく,to get dry
1651,石,いし,stone
1652,思い出す,おもいだす,"to recall, to remember"
1653,踊る,おどる,to dance
1654,細かい,こまかい,"small; fine, minute"
1655,塗る,ぬる,"to paint, to plaster"
1656,ご主人,ごしゅじん,"(your, her) husband"
1657,珍しい,めずらしい,"unusual, rare"
1658,用,よう,"errand, task, business (to take care of)"
1659,公務員,こうむいん,"government worker, public servant"
1660,お嬢さん,おじょうさん,(someone's) daughter (polite)
1661,用意,ようい,preparation
1662,探す,さがす,"to search, to seek, to look for"
1663,形,かたち,shape
1664,運転,うんてんする,driving
1665,すっかり,すっかり,"all, completely"
1666,アナウンサー,アナウンサー,announcer
1667,お土産,おみやげ,souvenir
1668,消しゴム,けしゴム,eraser
1669,旅館,りょかん,a Japanese inn
1670,海岸,かいがん,"coast, seashore"
1671,寂しい,さびしい,"lonely, lonesome"
1672,火,ひ,fire
1673,育てる,そだてる,to raise (v.t.); to bring up
1674,味噌,みそ,"miso, bean paste"
1675,お祝い,おいわい,"congratulation, celebration"
1676,乗り物,のりもの,vehicle
1677,案内,あんないする,"information, guidance"
1678,通う,かよう,to go back and forth; to commute
1679,連れる,つれる,"to lead, to take (a person)"
1680,技術,ぎじゅつ,"technique, technology, skill"
1681,小鳥,ことり,small bird
1682,下宿,げしゅく,"lodging, boarding house"
1683,ジャム,ジャム,jam
1684,招待,しょうたいする,invitation
1685,鏡,かがみ,mirror
1686,はず,はず,it should be so
1687,法律,ほうりつ,law
1688,進む,すすむ,"to advance, to proceed"
1689,楽む,たのしむ,to enjoy
1690,貿易,ぼうえき,trade
1691,反対,はんたい,"oppose, opposition, resistance"
1692,おる,おる,-- extra-modest expression for いる --
1693,申す,もうす,-- extra-modest (humble) expression for 言う (いう) --
1694,試験,しけん,an exam
1695,真面目,まじめ,"diligent, serious"
1696,ごらんになる,,-- honorific expression for みる --
1697,店員,てんいん,clerk; shop-employee
1698,泊まる,とまる,to stay (over night) (v.i.)
1699,よろしい,よろしい,"(hon.) good, OK, all right"
1700,今夜,こんや,"this evening, tonight"
1701,おつり,おつり,change; balance of money returned to the purchaser
1702,チェックする,チェックする,check
1703,会話,かいわ,conversation
1704,空気,くうき,"air, atmosphere"
1705,交通,こうつう,"traffic, transportation"
1706,ワープロ,ワープロ,word processor
1707,喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad"
1708,急行,きゅうこう,express train or bus
1709,皆,みな,everyone
1710,味,あじ,"flavor, taste"
1711,空港,くうこう,airport
1712,手袋,てぶくろ,glove(s)
1713,校長,こうちょう,"principal, headmaster"
1714,ごちそう,ごちそう,"feast, treating (someone)"
1715,踊り,おどり,dance
1716,興味,きょうみ,interest (in something)
1717,引っ越す,ひっこす,to move to a new place of residence
1718,冷房,れいぼう,"cooling, air conditioning"
1719,都合,つごう,"circumstances, convenience"
1720,遠慮,えんりょする,"restraint, reserve, hesitate"
1721,亡くなる,なくなる,to pass away
1722,科学,かがく,science
1723,はっきり,はっきり,"clearly, distinctly"
1724,差し上げる,さしあげる,-- humble expression for あげる --
1725,気持ち,きもち,"feeling, sensation, mood"
1726,祖父,そふ,grandfather
1727,港,みなと,"harbor, port"
1728,予約,よやく,reservation
1729,凄い,すごい,"terrific, great"
1730,入学,にゅうがくする,entry to school or university
1731,片付ける,かたづける,"to (clean) tidy up (v.t.), to put away"
1732,写す,うつす,to copy (v.t.); to photograph
1733,パソコン,パソコン,(personal) computer
1734,部長,ぶちょう,department (division) manager
1735,火事,かじ,fire
1736,足す,たす,to add (numbers)
1737,教会,きょうかい,church
1738,彼ら,かれら,they (usually male)
1739,いっぱい,一杯,"full, to the utmost"
1740,アメリカ,アメリカ,"America, U.S.A."
1741,男性,だんせい,man; male
1742,理由,りゆう,reason
1743,生産,せいさんする,production; to produce
1744,着物,きもの,kimono; Japanese traditional dress
1745,おもちゃ,おもちゃ,a toy
1746,暮れる,くれる,"to get dark, to come to an end"
1747,釣る,つる,to fish
1748,～ちゃん,～ちゃん,suffix for familiar (female) person
1749,打つ,うつ,"to hit, to strike"
1750,あんな,あんな,"such, like that"
1751,謝る,あやまる,to apologize
1752,昼間,ひるま,"daytime, during the day"
1753,教育,きょういく,education
1754,女性,じょせい,woman
1755,米,こめ,uncooked rice
1756,邪魔,じゃま,"hindrance, intrusion"
1757,国際,こくさい,international
1758,隅,すみ,corner
1759,伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)"
1760,再来週,さらいしゅう,the week after next
1761,夢,ゆめ,a dream
1762,喉,のど,throat
1763,最近,さいきん,"recently, nowadays, in recent years, most recent, latest"
1764,周り,まわり,surroundings
1765,歴史,れきし,history
1766,不便,ふべん,inconvenience
1767,血,ち,blood
1768,～続ける,～つづける,to continue doing ~
1769,毛,け,"hair, fur"
1770,ひどい,ひどい,"terrible, awful, unfair, cruel"
1771,例えば,たとえば,"for example, e.g."
1772,中々,なかなか,"very, considerably, quite"
1773,随分,ずいぶん,extremely
1774,～やすい,～やすい,easy to do ~
1775,押し入れ,おしいれ,closet
1776,電灯,でんとう,electric light
1777,叱る,しかる,to scold
1778,サンダル,サンダル,sandal
1779,びっくりする,びっくりする,to be surprised
1780,うまい,うまい,delicious; skillful; fortunate
1781,変える,かえる,"to change, to alter, to vary"
1782,講堂,こうどう,auditorium
1783,子,こ,child
1784,沸かす,わかす,to boil
1785,レジ,レジ,register
1786,しばらく,しばらく,little while
1787,特に,とくに,particularly
1788,空く,あく,"to open, to become empty (vacant)"
1789,計画,けいかくする,"plan, project, schedule"
1790,通り,とおり,"~ Street, ~ Avenue"
1791,下着,したぎ,underwear
1792,経済,けいざい,"economics, finance, economy"
1793,こう,こう,"like this, this way"
1794,是非,ぜひ,"certainly, by all means; without fail"
1795,裏,うら,"reverse side, back"
1796,為,ため,"good, advantage, in order to"
1797,おいでになる,おいでになる,(hon.) to be
1798,変わる,かわる,"to change (v.i.), to be transformed, to vary"
1799,以外,いがい,"other than, with the exception of, excepting"
1800,済む,すむ,"to finish, to end"
1801,ハンバーグ,ハンバーグ,hamburger steak
1802,市,し,city
1803,引き出し,ひきだし,drawer
1804,遊び,あそび,play
1805,支度,したくする,preparation
1806,～始める,～はじめる,to start doing ~
1807,見える,みえる,to be visible; -- polite verb meaning 来る (くる) --
1808,十分,じゅうぶん,enough
1809,音,おと,"sound, note"
1810,きっと,きっと,"surely, definitely, undoubtedly, certainly"
1811,まず,まず,"first (of all), to start with"
1812,遠く,とおく,"far away, distant"
1813,大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと)
1814,折れる,おれる,"to break, to be folded, to give in; to turn (a corner)"
1815,正しい,ただしい,correct
1816,輸入,ゆにゅう,import
1817,返事,へんじ,"reply, answer"
1818,都,と,metropolitan
1819,産業,さんぎょう,industry
1820,伝える,つたえる,"to convey (a message); to tell, to report"
1821,お金持ち,かねもち; おかねもち,rich person
1822,説明,せつめい,explanation
1823,島,しま,island
1824,道具,どうぐ,tool
1825,滑る,すべる,"to slide, to slip"
1826,それほど,それほど,to that degree; extent
1827,以上,いじょう,more than; this is all
1828,～まま,～まま,as it is
1829,特急,とっきゅう,limited express (train faster than an express)
1830,プレゼント,プレゼント,"present, gift"
1831,～(に) よると,～(に) よると,according to ~
1832,妻,つま,wife (humble)
1833,帰り,かえり,"return, coming back"
1834,具合,ぐあい,"condition, state, health"
1835,堅; 硬; 固い,かたい,"solid, hard, firm"
1836,駐車場,ちゅうしゃじょう,parking lot
1837,スーツ,スーツ,suit
1838,危険,きけん,"danger, risk, hazard"
1839,髪,かみ,hair
1840,天気予報,てんきよほう,weather forecast
1841,彼女,かのじょ,girlfriend; she
1842,間,あいだ,"space, interval"
1843,卒業,そつぎょう,graduation
1844,それで,それで,"and (conj.), thereupon, because of that"
1845,枝,えだ,"branch, twig"
1846,専門,せんもん,major; speciality
1847,そろそろ,そろそろ,"gradually, soon"
1848,送る,おくる,"to send, to dispatch"
1849,あげる,あげる,to give
1850,騒ぐ,さわぐ,"to make noise, to clamor"
1851,尋ねる,たずねる,to inquire (same as 質問する)
1852,放送,ほうそうする,broadcasting
1853,政治,せいじ,politics
1854,市民,しみん,citizen
1855,ファックス,ファックス,fax
1856,負ける,まける,"to lose (a game) (v.i.), to be defeated"
1857,指輪,ゆびわ,(finger) ring
1858,田舎,いなか,"rural, countryside"
1859,見つける,みつける,"to discover, to find (v.t.)"
1860,高校生,こうこうせい,high school student
1861,講義,こうぎ,a lecture
1862,そんなに,そんなに,"so much, like that"
1863,昼休み,ひるやすみ,"lunch break, noon recess"
1864,忘れ物,わすれもの,"lost article, something forgotten"
1865,下りる,おりる,"to get down, to go; come down"
1866,腕,うで,arm (in reference to body)
1867,訳,わけ,reason; explanation
1868,承知,しょうちする,"consent, acceptance"
1869,日記,にっき,"diary, journal"
