Expression,Meaning
以上,more than; this is all
～まま,as it is
特急,limited express (train faster than an express)
プレゼント,"present, gift"
～(に) よると,according to ~
妻,wife (humble)
帰り,"return, coming back"
具合,"condition, state, health"
堅; 硬; 固い,"solid, hard, firm"
駐車場,parking lot
スーツ,suit
危険,"danger, risk, hazard"
髪,hair
天気予報,weather forecast
彼女,girlfriend; she
間,"space, interval"
卒業,graduation
それで,"and (conj.), thereupon, because of that"
枝,"branch, twig"
専門,major; speciality
そろそろ,"gradually, soon"
送る,"to send, to dispatch"
あげる,to give
騒ぐ,"to make noise, to clamor"
尋ねる,to inquire (same as 質問する)
放送,broadcasting
政治,politics
市民,citizen
ファックス,fax
負ける,"to lose (a game) (v.i.), to be defeated"
指輪,(finger) ring
田舎,"rural, countryside"
見つける,"to discover, to find (v.t.)"
高校生,high school student
講義,a lecture
そんなに,"so much, like that"
昼休み,"lunch break, noon recess"
忘れ物,"lost article, something forgotten"
下りる,"to get down, to go; come down"
腕,arm (in reference to body)
訳,reason; explanation
承知,"consent, acceptance"
日記,"diary, journal"
高校; 高等学校,high school; senior high school
似る,"to resemble, to be similar"
～おわる,to finish doing ~
暖房,heating
留守,absence; not at home
割合,"rate, ratio, percentage"
寺,Buddhist temple
慣れる,to grow accustomed to
普通,common; usual
手伝う,to help
なるほど,I see; I now understand
くださる,"(hon.) to give, to confer"
息子,(humble) son
お子さん,(someone else's) child (polite)
会場,"venue, meeting place"
笑う,"to laugh, to smile"
運ぶ,"to transport, to carry"
文学,literature
光,light
お見舞い,"calling on someone who is ill, visit"
席,a seat
～様,"Mr., Mrs., Ms."
ご存じ,"knowing, acquaintance"
下る,"to descend, to drop, to fall"
字,letter; character
アジア,Asia
褒める,to praise; to say nice things
空く,"to be empty (in reference to people), to be less crowded"
あ,Ah
最も,most
合う,"to fit, to match"
～代,~ age; period
最後,"last, end"
値段,price
退院,leaving hospital
展覧会,exhibition
久しぶり,it has been a long time; for the first time in a long time
カーテン,curtain
汽車,train (steam)
遅れる,to (be) become late
見つかる,"to be found (v.i.), to be discovered"
召し上がる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
太る,to gain weight
注射,injection
様,"way, manner, kind"
～おき,after every ~
最初,"beginning, first"
御～,honorable ~
安心,"peace of mind, relief"
直る,to be fixed
集める,"to collect, to gather (v.t.), to assemble"
直す,to correct (v.t.); to fix
続く,to be continued
先輩,senior members of a group
約束,"arrangement, appointment, promise"
世話,looking after; to look after
近所,neighborhood
将来,(in the) future; prospects
億,hundred million
数学,mathematics
文化,culture
払う,to pay
習慣,custom (in reference to culture)
焼ける,"to burn, to be roasted"
君,you (informal for men)
冷える,"to grow cold, to cool down"
点く,"to be started, to be switched on"
この間,"the other day, recently"
かっこう,"appearance, manner, shape, form, posture"
かまう,"to mind, to care about, to be concerned about"
続ける,"to continue, to keep up"
落す,"to drop, to lose"
明日,tomorrow
出発,departure
拝見,"(humble) (polite) seeing, look at"
割れる,to break
背中,back (of body)
新聞社,newspaper company
いじめる,"to bully, to torment"
回る、回す,"to go around, to revolve"
～君,"Mr. (junior) ~, master ~"
おっしゃる,-- honorific expression for いう --
眠い,"sleepy, drowsy"
濡れる,to get wet
倒れる,"to collapse, to break down"
スーパー (マーケット),supermarket
アクセサリー,accessory
考える,to think (about); to consider
向かう,"to face, to go towards"
自由,freedom
仕方,way (of doing something)
首,neck
程,"degree, extent"
代わり,"substitute, replacement"
失敗,"failure, mistake"
工業,(manufacturing) industry
移る,to move (from a house); to transfer (from a department); to shift
スーツケース,suitcase
ひげ,beard
研究室,the professor's office; laboratory
工場,factory
紹介,an introduction
けれど; けれども,"but, although"
舟,"ship, boat"
動く,to move
～(に) ついて,"about, concerning"
コンサート,concert
虫,insect
優しい,"kind (person), gentle (person), easy (problem)"
コンピュータ; コンピューター,computer
植える,to plant
両方,"both sides, both parties"
汚れる,to become dirty
水泳,swimming
経験,experience
勝つ,to win
砂,sand
警察,police; police station
取り替える,"to exchange, to replace"
急ぐ,"to hurry, to be in a hurry, to rush"
簡単,simple
参る,humble expression for 行く and 来る
全然,"not at all; wholly, entirely"
特別,special
復習,"review (of lessons), revision"
間に合う,to be in time for
役に立つ,"to be helpful, to be useful"
もうすぐ,very soon; in a few moments; days
真中,"middle, center"
戻る,to return (v.i.); to come back
研究,"study, research, investigation"
ケーキ,cake
草,grass
込む,to be crowded
この頃,"these days, nowadays"
訪ねる,to visit
下げる,to lower (v.t.); to hang
花見,cherry-blossom viewing
途中,"on the way, midway"
入院,hospitalization
乗り換える,"to transfer (trains), to change (bus, train, etc.)"
別れる,"to part from, to separate"
～町,the town of ~
安全,"safety, security"
看護婦,(female) nurse
見物,sightseeing
相談,consultation
ガソリンスタンド,"gas station, service station"
テニス,tennis
眠る,to sleep
上がる,"to rise, to go up"
翻訳,translation
食事,meal
おかげ,thanks or owing to
娘,daughter (humble)
湯,hot water
競争,"competition, contest"
会議,business meeting; conference
湖,lake
集まる,"to gather (v.i.), to collect"
～にくい,difficult to do ~
生活,"living, life; to live"
糸,thread
関係,"relation(ship), connection"
ピアノ,piano
～目,"number ~ sequence, ~nd; ~th"
番組,broadcast program
急,"urgent, sudden; steep"
棚,"shelves, rack"
木綿,cotton
輸出,export
タイプ,"type, style"
すり,pickpocket
うれしい,to be happy; to be glad
アルコール,alcohol
ソフト,soft; soft hat; software
神社,Shinto shrine
大分,"fairly well, to a large extent, considerably, pretty much"
楽しみ,"pleasure, joy"
趣味,hobby; pastime
電報,telegram
家内,(one's own) wife
指,finger
これから,"from now on, after this"
たまに,occasionally
社会,society
N4,
踏む,"to step on, to tread on"
～区,"~ district, ~ ward, ~ borough"
すっと,"straight, quickly"
盗む,to steal; to rob
大抵,"generally, usually"
とうとう,"finally, at last"
ガソリン,"gasoline, petrol"
鳴る,"to sound, to ring (v.i.)"
しっかり,"firmly, steady"
生きる,to live
苦い,bitter
沸く,"to boil, to grow hot"
意見,"opinion, view, idea"
やはり; やっぱり,"as I thought, absolutely"
漫画,"comic (book), cartoon"
ステレオ,stereo
医学,medical science
テキスト,text; text book
～月,month
折る,"to snap, to break; to bend"
～会,~ meeting
うかがう,to ask
聞こえる,"to be heard, to be audible"
僕,I (used by men towards those of equal or lower status)
必ず,"surely, certainly"
壊す,"to break, to break down"
怒る,to get angry; to scold angrily
床屋,barber's (shop)
オートバイ,motorcycle (lit: auto-bi(ke))
運動,exercise
止む,"to cease, to stop"
もし,if
表,surface; front; outside
大学生,"college student, university student"
運転手,driver (by occupation)
予習,preparation of lessons (for class)
心配,"worry, concern"
別,"distinction, different"
非常に,extremely; very
お宅,(someone else's) house; home -- polite word for 家 (いえ) --
柔らかい,"soft (in reference to texture), tender"
拾う,"to pick up (something), to find"
～ございます,"to be (polite), to exist"
気,"spirit, mood"
比べる,to compare
ほとんど,"mostly, almost"
つもり,"intention, plan"
郊外,"suburb, outskirts"
だめ,"useless, no good, hopeless"
売り場,place where things are sold
正月,"New Year, New Year's Day"
規則,"rule, regulation"
うん,"yes (informal), all right (ok)"
発音,pronunciation
焼く,"to bake, to grill"
屋上,rooftop
失礼,"discourtesy, impoliteness; Excuse me"
ごみ,"trash, garbage"
アフリカ,Africa
点,"mark, score, grade; point, dot"
一生懸命,"very hard (as in ""to work hard""), with utmost effort"
今度,"now, this time, near future, one of these days, next time"
機会,"chance, opportunity"
建てる,to build
複雑,"complexity, complication"
彼,"he, boyfriend"
いらっしゃる,"-- honorific expression for いく, くる, and いる --"
布団,futon
大事,"important, valuable, serious matter"
贈り物,a gift; a present
泥棒,thief; burglar
～製,made in ~
注意,"caution, attention"
台風,typhoon
日,"sun, sunshine, day"
～軒,counter for houses
そう,"really, (is that) so; yes, right"
通る,"to pass (by), to go through"
過ぎる,"to exceed, to go beyond"
レポート; リポート,report
葉,leaf
必要,necessary
課長,section manager
地震,earthquake
すると,"and, then"
止める,"to end, to stop"
ガラス,"glass, pane"
～学部,department of a university
厳しい,hard; rigorous; strict
エスカレーター,escalator
人口,population
月,moon
絹,silk
ちっとも,not at all (neg. verb)
深い,"deep, profound"
壊れる,"to be broken, to break"
揺れる,"to shake, to sway"
落る,"to fall, to drop"
できるだけ,"if at all possible, as much as possible"
悲しい,"sad, sorrowful"
中学校,junior high school pupil
ガス,gas
祈る,to pray; to wish
盛ん,"prosperous, active, thriving"
アルバイト,part-time job
起こす,to wake (someone) up
致す,-- extra-modest expression for する --
噛む,"to bite, to chew"
赤ちゃん,"baby, infant"
浅い,"shallow, superficial"
うそ,lie
小説,novel
親,a parent
それに,moreover; besides
西洋,"the West, Western countries"
思う,"to think, to feel"
パート (タイム),part time (esp. female part time employees)
時代,"age, period, epoch, era"
申し上げる,"(humble)to say, to tell"
～式,~ ceremony; ~ style
出席,attendance
～家,person who is specialized in ~
迎える,to welcome; to meet; to greet
触る,"to touch, to feel"
建て,"~ storied, separate housing"
社長,president of a company
動物園,zoo
捕まえる,"to catch, to arrest"
季節,season (in reference to weather)
寄る,to stop by
決まる,to be set; fixed (v.i.)
開く,to open; to hold (an event)
逃げる,"to escape, to run away"
だから,so; therefore
残念,regret; regrettable
畳,tatami mat (Japanese straw mat)
丁寧,"polite, courteous, careful"
地理,geography
さっき,a little while ago
怖い,"scary, frightening"
包む,"to wrap, to cover"
なるべく,"if possible, as much as possible"
無理,"unreasonable, impossible"
サンドイッチ,sandwich
会議室,conference room
品物,goods
人形,"doll, figure"
利用,"use, utilization"
飾る,"to decorate, to adorn"
止める,to stop (something)
恥ずかしい,"ashamed, embarrassed"
いくら～ても,however much one may ~
用事,business to take care of; tasks; errands
ビル,(abbr.) building
けんかする,quarrel
頑張る,"to try one's best, to try hard, to persist"
投げる,"to pitch, to cast away"
故障,breakdown
力,"strength, power"
受ける,"to take (an examination, interview, etc.); to receive"
気分,"feeling, mood"
間違える,to make a mistake
そんな,"such, like that, that sort of"
星,star
場合,"case, situation"
やっと,"at last, finally"
足りる,to be sufficient; to be enough
行う,to carry out; to conduct (typically used in written language)
ぶどう,grapes
無くなる,"to disappear, to get lost"
準備,prepare
世界,world
住所,address; place of residence
再来月,the month after next
林,"woods, forest"
倍,double
痩せる,to lose weight
線,"line, wire"
戦争,war
決める,to decide (v.t.)
調べる,to check; to look up; to inquire; to search
寝坊,sleeping in late
パパ,"papa, daddy"
光る,"to shine, to glitter"
夫,husband
雲,cloud
坂,"slope, hill"
～(て) しまう,to end up ~
飛行場,airport
柔道,judo
決して,never
事務所,office
連絡,"communication, contact, connection"
小学校,elementary school
客,"guest, customer"
昔,old days; past
美しい,"beautiful, lovely"
捨てる,"throw away (trash), dump, discard"
なさる,-- honorific expression for する --
事,"thing(s), matter(s), fact"
どんどん,quickly and steadily; at a rapid pace
試合,"match, game, competition"
適当,"fitness, suitability"
素晴らしい,wonderful; terrific
美術館,"art gallery, art museum"
文法,grammar
終わり,end
壁,wall
一度,"once, one time"
お礼,expression of gratitude; thanking; gift of appreciation; bow
親切,kindness
知らせる,to notify
歯医者,dentist
熱心,enthusiasm
始める,"to start, to begin"
もらう,to receive
泣く,to cry
治る,to get better; to recover from illness (v.i.)
熱,"fever, temperature"
お祭り,festival
水道,"water service, water line"
匂い,"odor, smell"
ベル,bell
赤ん坊,baby
おかしい,strange; odd; funny
事故,accident
変,"strange, odd"
辞典,"encyclopedia, reference book"
残る,"to remain (v.i.), to be left"
立てる,"to stand (something) up, to erect (something)"
くれる,"to give, to do for"
～員,member of ~
原因,"cause, origin, source"
驚く,"to be surprised, to be astonished"
いただく,-- extra-modest expression for たべる and のむ; humble expression for もらう --
祖母,grandmother
場所,"place, location"
答,"answer, response"
もちろん,"certainly, of course"
漬ける,"to soak, to moisten, to pickle"
受付,reception(ist) desk
内,"within, inside"
スクリーン,screen
増える,"to increase, to multiply"
または,"or, otherwise"
けがする,"injury (to animate object), hurt"
以下,"less than, below"
選ぶ,to choose; to select
～ばかり,"just did ~, only"
心,"heart, mind"
～だす,to start doing ~
サラダ,salad
届ける,to deliver (v.t.)
あいさつする,greet(ing)
景色,"scenery, landscape"
確か,"if I remember correctly; certain, definite"
ステーキ,steak
食料品,"foodstuff, groceries"
森,forest
以内,"within, less (no more) than"
予定,"plans, arrangement, schedule"
オーバー,"overcoat; over, exceeding, exaggeration"
乾く,to get dry
石,stone
思い出す,"to recall, to remember"
踊る,to dance
細かい,"small; fine, minute"
塗る,"to paint, to plaster"
ご主人,"(your, her) husband"
珍しい,"unusual, rare"
用,"errand, task, business (to take care of)"
公務員,"government worker, public servant"
お嬢さん,(someone's) daughter (polite)
用意,preparation
探す,"to search, to seek, to look for"
形,shape
運転,driving
すっかり,"all, completely"
アナウンサー,announcer
お土産,souvenir
消しゴム,eraser
旅館,a Japanese inn
海岸,"coast, seashore"
寂しい,"lonely, lonesome"
火,fire
育てる,to raise (v.t.); to bring up
味噌,"miso, bean paste"
お祝い,"congratulation, celebration"
乗り物,vehicle
案内,"information, guidance"
通う,to go back and forth; to commute
連れる,"to lead, to take (a person)"
技術,"technique, technology, skill"
小鳥,small bird
下宿,"lodging, boarding house"
ジャム,jam
招待,invitation
鏡,mirror
はず,it should be so
法律,law
進む,"to advance, to proceed"
楽む,to enjoy
貿易,trade
反対,"oppose, opposition, resistance"
おる,-- extra-modest expression for いる --
申す,-- extra-modest (humble) expression for 言う (いう) --
試験,an exam
真面目,"diligent, serious"
ごらんになる,-- honorific expression for みる --
店員,clerk; shop-employee
泊まる,to stay (over night) (v.i.)
よろしい,"(hon.) good, OK, all right"
今夜,"this evening, tonight"
おつり,change; balance of money returned to the purchaser
チェックする,check
会話,conversation
空気,"air, atmosphere"
交通,"traffic, transportation"
ワープロ,word processor
喜ぶ,"to rejoice, to be delighted, to be glad"
急行,express train or bus
皆,everyone
味,"flavor, taste"
空港,airport
手袋,glove(s)
校長,"principal, headmaster"
ごちそう,"feast, treating (someone)"
踊り,dance
興味,interest (in something)
引っ越す,to move to a new place of residence
冷房,"cooling, air conditioning"
都合,"circumstances, convenience"
遠慮,"restraint, reserve, hesitate"
亡くなる,to pass away
科学,science
はっきり,"clearly, distinctly"
差し上げる,-- humble expression for あげる --
気持ち,"feeling, sensation, mood"
祖父,grandfather
港,"harbor, port"
予約,reservation
凄い,"terrific, great"
入学,entry to school or university
片付ける,"to (clean) tidy up (v.t.), to put away"
写す,to copy (v.t.); to photograph
パソコン,(personal) computer
部長,department (division) manager
火事,fire
足す,to add (numbers)
教会,church
彼ら,they (usually male)
いっぱい,"full, to the utmost"
アメリカ,"America, U.S.A."
男性,man; male
理由,reason
生産,production; to produce
着物,kimono; Japanese traditional dress
おもちゃ,a toy
暮れる,"to get dark, to come to an end"
釣る,to fish
～ちゃん,suffix for familiar (female) person
打つ,"to hit, to strike"
あんな,"such, like that"
謝る,to apologize
昼間,"daytime, during the day"
教育,education
女性,woman
米,uncooked rice
邪魔,"hindrance, intrusion"
国際,international
隅,corner
伺う,"humble form of 行く (いく), 聞く (きく) and 来る (くる)"
再来週,the week after next
夢,a dream
喉,throat
最近,"recently, nowadays, in recent years, most recent, latest"
周り,surroundings
歴史,history
不便,inconvenience
血,blood
～続ける,to continue doing ~
毛,"hair, fur"
ひどい,"terrible, awful, unfair, cruel"
例えば,"for example, e.g."
中々,"very, considerably, quite"
随分,extremely
～やすい,easy to do ~
押し入れ,closet
電灯,electric light
叱る,to scold
サンダル,sandal
びっくりする,to be surprised
うまい,delicious; skillful; fortunate
変える,"to change, to alter, to vary"
講堂,auditorium
子,child
沸かす,to boil
レジ,register
しばらく,little while
特に,particularly
空く,"to open, to become empty (vacant)"
計画,"plan, project, schedule"
通り,"~ Street, ~ Avenue"
下着,underwear
経済,"economics, finance, economy"
こう,"like this, this way"
是非,"certainly, by all means; without fail"
裏,"reverse side, back"
為,"good, advantage, in order to"
おいでになる,(hon.) to be
変わる,"to change (v.i.), to be transformed, to vary"
以外,"other than, with the exception of, excepting"
済む,"to finish, to end"
ハンバーグ,hamburger steak
市,city
引き出し,drawer
遊び,play
支度,preparation
～始める,to start doing ~
見える,to be visible; -- polite verb meaning 来る (くる) --
十分,enough
音,"sound, note"
きっと,"surely, definitely, undoubtedly, certainly"
まず,"first (of all), to start with"
遠く,"far away, distant"
大体,approximately; in most cases; in general; to begin with (same as もともと)
折れる,"to break, to be folded, to give in; to turn (a corner)"
正しい,correct
輸入,import
返事,"reply, answer"
都,metropolitan
産業,industry
伝える,"to convey (a message); to tell, to report"
お金持ち,rich person
説明,explanation
島,island
道具,tool
滑る,"to slide, to slip"
それほど,to that degree; extent
以上,more than; this is all
～まま,as it is
特急,limited express (train faster than an express)
プレゼント,"present, gift"
～(に) よると,according to ~
妻,wife (humble)
帰り,"return, coming back"
具合,"condition, state, health"
堅; 硬; 固い,"solid, hard, firm"
駐車場,parking lot
スーツ,suit
危険,"danger, risk, hazard"
髪,hair
天気予報,weather forecast
彼女,girlfriend; she
間,"space, interval"
卒業,graduation
それで,"and (conj.), thereupon, because of that"
枝,"branch, twig"
専門,major; speciality
そろそろ,"gradually, soon"
送る,"to send, to dispatch"
あげる,to give
騒ぐ,"to make noise, to clamor"
尋ねる,to inquire (same as 質問する)
放送,broadcasting
政治,politics
市民,citizen
ファックス,fax
負ける,"to lose (a game) (v.i.), to be defeated"
指輪,(finger) ring
田舎,"rural, countryside"
見つける,"to discover, to find (v.t.)"
高校生,high school student
講義,a lecture
そんなに,"so much, like that"
昼休み,"lunch break, noon recess"
忘れ物,"lost article, something forgotten"
下りる,"to get down, to go; come down"
腕,arm (in reference to body)
訳,reason; explanation
承知,"consent, acceptance"
日記,"diary, journal"
高校; 高等学校,high school; senior high school
似る,"to resemble, to be similar"
～おわる,to finish doing ~
暖房,heating
留守,absence; not at home
割合,"rate, ratio, percentage"
寺,Buddhist temple
慣れる,to grow accustomed to
普通,common; usual
手伝う,to help
なるほど,I see; I now understand
くださる,"(hon.) to give, to confer"
息子,(humble) son
お子さん,(someone else's) child (polite)
会場,"venue, meeting place"
笑う,"to laugh, to smile"
運ぶ,"to transport, to carry"
文学,literature
光,light
お見舞い,"calling on someone who is ill, visit"
席,a seat
～様,"Mr., Mrs., Ms."
ご存じ,"knowing, acquaintance"
下る,"to descend, to drop, to fall"
字,letter; character
アジア,Asia
褒める,to praise; to say nice things
空く,"to be empty (in reference to people), to be less crowded"
あ,Ah
最も,most
合う,"to fit, to match"
～代,~ age; period
最後,"last, end"
値段,price
退院,leaving hospital
展覧会,exhibition
久しぶり,it has been a long time; for the first time in a long time
カーテン,curtain
汽車,train (steam)
遅れる,to (be) become late
見つかる,"to be found (v.i.), to be discovered"
召し上がる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
太る,to gain weight
注射,injection
様,"way, manner, kind"
～おき,after every ~
最初,"beginning, first"
御～,honorable ~
安心,"peace of mind, relief"
直る,to be fixed
集める,"to collect, to gather (v.t.), to assemble"
直す,to correct (v.t.); to fix
続く,to be continued
先輩,senior members of a group
約束,"arrangement, appointment, promise"
世話,looking after; to look after
近所,neighborhood
将来,(in the) future; prospects
億,hundred million
数学,mathematics
文化,culture
払う,to pay
習慣,custom (in reference to culture)
焼ける,"to burn, to be roasted"
君,you (informal for men)
冷える,"to grow cold, to cool down"
点く,"to be started, to be switched on"
この間,"the other day, recently"
かっこう,"appearance, manner, shape, form, posture"
かまう,"to mind, to care about, to be concerned about"
続ける,"to continue, to keep up"
落す,"to drop, to lose"
明日,tomorrow
出発,departure
拝見,"(humble) (polite) seeing, look at"
割れる,to break
背中,back (of body)
新聞社,newspaper company
いじめる,"to bully, to torment"
回る、回す,"to go around, to revolve"
～君,"Mr. (junior) ~, master ~"
おっしゃる,-- honorific expression for いう --
眠い,"sleepy, drowsy"
濡れる,to get wet
倒れる,"to collapse, to break down"
スーパー (マーケット),supermarket
アクセサリー,accessory
考える,to think (about); to consider
向かう,"to face, to go towards"
自由,freedom
仕方,way (of doing something)
首,neck
程,"degree, extent"
代わり,"substitute, replacement"
失敗,"failure, mistake"
工業,(manufacturing) industry
移る,to move (from a house); to transfer (from a department); to shift
スーツケース,suitcase
ひげ,beard
研究室,the professor's office; laboratory
工場,factory
紹介,an introduction
けれど; けれども,"but, although"
舟,"ship, boat"
動く,to move
～(に) ついて,"about, concerning"
コンサート,concert
虫,insect
優しい,"kind (person), gentle (person), easy (problem)"
コンピュータ; コンピューター,computer
植える,to plant
両方,"both sides, both parties"
汚れる,to become dirty
水泳,swimming
経験,experience
勝つ,to win
砂,sand
警察,police; police station
取り替える,"to exchange, to replace"
急ぐ,"to hurry, to be in a hurry, to rush"
簡単,simple
参る,humble expression for 行く and 来る
全然,"not at all; wholly, entirely"
特別,special
復習,"review (of lessons), revision"
間に合う,to be in time for
役に立つ,"to be helpful, to be useful"
もうすぐ,very soon; in a few moments; days
真中,"middle, center"
戻る,to return (v.i.); to come back
研究,"study, research, investigation"
ケーキ,cake
草,grass
込む,to be crowded
この頃,"these days, nowadays"
訪ねる,to visit
下げる,to lower (v.t.); to hang
花見,cherry-blossom viewing
途中,"on the way, midway"
入院,hospitalization
乗り換える,"to transfer (trains), to change (bus, train, etc.)"
別れる,"to part from, to separate"
～町,the town of ~
安全,"safety, security"
看護婦,(female) nurse
見物,sightseeing
相談,consultation
ガソリンスタンド,"gas station, service station"
テニス,tennis
眠る,to sleep
上がる,"to rise, to go up"
翻訳,translation
食事,meal
おかげ,thanks or owing to
娘,daughter (humble)
湯,hot water
競争,"competition, contest"
会議,business meeting; conference
湖,lake
集まる,"to gather (v.i.), to collect"
～にくい,difficult to do ~
生活,"living, life; to live"
糸,thread
関係,"relation(ship), connection"
ピアノ,piano
～目,"number ~ sequence, ~nd; ~th"
番組,broadcast program
急,"urgent, sudden; steep"
棚,"shelves, rack"
木綿,cotton
輸出,export
タイプ,"type, style"
すり,pickpocket
うれしい,to be happy; to be glad
アルコール,alcohol
ソフト,soft; soft hat; software
神社,Shinto shrine
大分,"fairly well, to a large extent, considerably, pretty much"
楽しみ,"pleasure, joy"
趣味,hobby; pastime
電報,telegram
家内,(one's own) wife
指,finger
これから,"from now on, after this"
たまに,occasionally
社会,society
N3,
作法,"manners, etiquette, propriety"
様々,"varied, various"
冷ます,"to cool, to let cool"
覚ます,to awaken
冷める,"to become cool, to wear off"
覚める,"to wake, to wake up"
左右,left and right; influence
皿,"plate, dish"
更に,"furthermore, moreover"
去る,"to leave, to go away"
猿,monkey
騒ぎ,"uproar, disturbance"
参加,participation
参考,"reference, consultation"
賛成,"approval, agreement"
酸性,acidity
酸素,oxygen
氏,"family name, lineage"
詩,poem; poetry
幸せ,"happiness, blessing"
ジーンズ,jeans
ジェット機,jet plane
四角,square
直に,"immediately, readily, directly"
しかも,"moreover, furthermore, besides, plus"
四季,four seasons
直,"immediately, soon, shortly"
時期,"time, season, period"
支給,"payment, allowance"
至急,"urgent, pressing"
しきりに,"frequently, repeatedly, eagerly"
刺激,"stimulus, impetus, incentive"
資源,resources
事件,"event, affair, incident"
時刻,"time, hour"
自殺,suicide
事実,"fact, truth, reality"
支出,"expenditure, expenses"
事情,"circumstances, situation, reasons"
詩人,poet
自身,oneself
沈む,to sink; to feel depressed
自然,"nature, spontaneous"
思想,"thought, idea"
舌,tongue
次第,order; circumstances; immediate(ly)
従う,"to abide (by the rules), to obey"
したがって,"therefore, consequently"
親しい,"intimate, close (e.g., friend)"
質,"quality, nature (of person)"
失業,unemployment
湿気,"moisture, humidity, dampness"
実験,lab work; experiment
実現,"implementation, materialization, realization"
実行,"practice, execution (e.g., program), realization"
実際,in fact; in actuality
実施,"enforcement, carry out, operation"
湿度,humidity
じっと,"patiently, quietly"
実に,"indeed, truly, surely"
実は,actually; in fact
失望,"disappointment, despair"
実力,ability; force
支店,branch store (office)
指導,"leadership, guidance, coaching"
自動,"automatic, self-motion"
児童,"children, juvenile"
品,"thing, article, goods"
支配,"rule, control, direction"
芝居,"play, drama"
しばしば,"often, again and again, frequently"
芝生,lawn
支払,payment
支払う,to pay
死亡,death
資本,"funds, capital"
姉妹,sisters
しまった (かん),Damn it!
自慢,"pride, boast"
地味,"quiet, plain, conservative"
示す,"to show, to indicate"
占める,to take up; to account for
湿る,"to be wet, to be damp"
下,"under, below, beneath"
霜,frost
借金,"debt, loan, liabilities"
しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))"
週,week
州,"state, province"
銃,gun
周囲,"surroundings, circumference, environs"
収穫,"harvest, crop, ingathering"
宗教,religion
重視,"importance, stress"
就職,finding employment
ジュース,"juice, soft drink; deuce"
修正,"amendment, correction"
重体,"seriously ill, critical state"
渋滞,"congestion (e.g., traffic), delay"
重大,"serious, important"
住宅,"resident, housing"
集団,"group, mass"
集中,"concentration, focusing the mind"
収入,"income, revenue"
住民,"inhabitants, residents"
重要,"important, essential"
修理,"repairing, mending"
主義,"doctrine, cause, principle"
宿泊,lodging
手術,surgical operation
首相,Prime Minister
手段,"means, way, measure"
主張,"claim, insistence, assertion"
出場,participation
出身,come from
出版,publication
首都,capital city
主婦,housewife
主要,"chief, main"
需要,demand
種類,"variety, kind"
順,"order, turn"
瞬間,"moment, second"
順調,doing well
順番,"turn (in line), order of things"
使用,"use (same as 使うこと (つかうこと)), application, employment, utilization"
小,small
章,"chapter, section; medal"
賞,"prize, award"
上,first volume; superior quality; governmental
障害,"obstacle, impediment"
奨学金,scholarship
乗客,passenger
上京,proceeding to the capital (Tokyo)
状況,"state of affairs, situation"
条件,"conditions, terms"
正午,"noon, mid-day"
正直,"honesty, integrity, frankness"
常識,common sense
少女,young girl
少々,a little; short (time) (formal for 少し (すこし))
症状,"symptoms, condition"
生じる,"to occur, to arise, to be generated"
状態,"condition, situation"
上達,"improvement, advance"
冗談,a joke
上等,"first class, very good"
衝突,"collision, conflict"
商人,"trader, shopkeeper, merchant"
承認,"recognition, approval"
少年,"boys, juveniles"
商売,"trade, business, commerce"
消費,"consumption, expenditure"
商品,"commodity, merchandise"
賞品,"prize, trophy"
消防,"fire fighting, fire department"
情報,"information, (military) intelligence"
証明,"proof, verification"
省略,"omission, abbreviation, abridgment"
女王,queen
職,employment
職業,"occupation, business"
食卓,dining table
食品,foodstuff
植物,"plant, vegetation"
食物,"food, foodstuff"
食欲,appetite (for food)
食料,food
食糧,"provisions, rations"
書斎,"study, den"
女子,"woman, girl"
助手,"helper, assistant"
徐々に,"slowly, little by little"
署名,signature
書物,books
女優,actress
処理,"processing, treatment, disposition"
書類,"documents, official papers"
知らせ,notice
尻,"buttocks, bottom"
知合い,acquaintance
印,mark; symbol; evidence
城,castle
進学,going on to university
神経,"nerve, sensitivity"
真剣,"seriousness, earnestness"
信仰,"(religious) faith, belief"
信号,"traffic lights, signal, semaphore"
人工,"artificial, man made, human work,"
深刻,serious
診察,medical examination (of a patient)
人種,race (of people)
信じる,to believe
人生,"(human) life (e.g., conception to death)"
親戚,relative(s)
新鮮,fresh
心臓,heart
身体,the body
身長,"height (of body), stature"
慎重,"careful, prudent, cautious"
審判,"umpire, referee, judgment"
人物,"character, personality, talented man"
進歩,"improvement, progress, development"
親友,"close friend, buddy"
信用,"confidence, dependence"
信頼,"reliance, trust, confidence"
心理,mentality
人類,"mankind, humanity"
巣,"nest, breeding place"
酢,vinegar
図,"figure, drawing, illustration"
水準,"level, standard"
推薦,recommendation
スイッチ,switch
睡眠,sleep
数,"number, figure"
数字,"numeral, figure"
スープ,(Western) soup
末,"the end of, powder"
姿,"figure, shape, appearance"
スキー,ski
救う,"to rescue from, to help out of"
すくなくとも,at least
優れる,"to surpass, to outstrip, to excel"
スケート,"skate(s), skating"
スケジュール,schedule
少しも,"anything of, not one bit"
過ごす,"to pass, to spend (time)"
筋,"muscle, string, line"
進める,"to advance, to promote, to hasten"
勧める,"to urge (someone) to do (something), to recommend"
スター,star
スタイル,style
スタンド,stand
頭痛,headache
